outcome,estimand,target,cal_countries,order_index,attainable,traj_len,target_score,critical,covered,mean_width
stfdem,B_traj_L4_per_slot,SE,29,27,0.9,4,2.363,3.387,1,0.419
stfdem,B_traj_L4_per_slot,SI,29,27,0.9,4,2.638,3.445,1,0.42
stfdem,B_traj_L4_per_slot,SK,29,27,0.9,4,2.098,3.43,1,0.419
stfdem,B_traj_L4_per_slot,UA,29,27,0.9,4,3.865,3.869,1,0.47
stfdem,S_allround,AT,34,32,0.914,7,2.516,4.065,1,0.491
stfdem,S_allround,BE,34,32,0.914,10,1.588,4.011,1,0.492
stfdem,S_allround,BG,34,32,0.914,6,2.693,4.041,1,0.492
stfdem,S_allround,CH,34,32,0.914,10,2.733,4.111,1,0.505
stfdem,S_allround,CY,34,32,0.914,6,3.193,4.203,1,0.507
stfdem,S_allround,CZ,34,32,0.914,8,1.517,4.045,1,0.496
stfdem,S_allround,DE,34,32,0.914,10,2.019,4.06,1,0.498
stfdem,S_allround,DK,34,32,0.914,7,2.682,4.146,1,0.506
stfdem,S_allround,EE,34,32,0.914,9,1.361,4.012,1,0.491
stfdem,S_allround,ES,34,32,0.914,10,2.275,4.087,1,0.497
stfdem,S_allround,FI,34,32,0.914,10,5.259,3.949,0,0.475
stfdem,S_allround,FR,34,32,0.914,10,1.998,4.022,1,0.487
stfdem,S_allround,GB,34,32,0.914,10,1.634,3.999,1,0.489
stfdem,S_allround,GR,34,32,0.914,5,5.22,4.122,0,0.472
stfdem,S_allround,HR,34,32,0.914,4,1.608,4.052,1,0.491
stfdem,S_allround,HU,34,32,0.914,10,4.174,4.051,0,0.483
stfdem,S_allround,IE,34,32,0.914,10,3.038,4.13,1,0.495
stfdem,S_allround,IL,34,32,0.914,7,1.983,4.042,1,0.49
stfdem,S_allround,IS,34,32,0.914,5,1.992,4.062,1,0.493
stfdem,S_allround,IT,34,32,0.914,5,2.498,4.066,1,0.49
stfdem,S_allround,LT,34,32,0.914,6,3.829,4.135,1,0.496
stfdem,S_allround,LU,34,32,0.914,1,3.382,4.157,1,0.503
stfdem,S_allround,LV,34,32,0.914,3,2.096,4.075,1,0.491
stfdem,S_allround,ME,34,32,0.914,2,1.518,4.068,1,0.493
stfdem,S_allround,NL,34,32,0.914,10,1.075,3.995,1,0.491
stfdem,S_allround,NO,34,32,0.914,10,3.044,4.182,1,0.512
stfdem,S_allround,PL,34,32,0.914,10,4.076,4.237,1,0.499
stfdem,S_allround,PT,34,32,0.914,10,3.477,4.039,1,0.479
stfdem,S_allround,RS,34,32,0.914,2,3.766,4.211,1,0.51
