cntry,essround,sample,n_trstprl,trstprl_t0,trstprl_t1,trstprl_t2,trstprl_t3,trstprl_t4,trstprl_t5,trstprl_t6,trstprl_t7,trstprl_t8,trstprl_t9,n_stfdem,stfdem_t0,stfdem_t1,stfdem_t2,stfdem_t3,stfdem_t4,stfdem_t5,stfdem_t6,stfdem_t7,stfdem_t8,stfdem_t9,trstprl_v0,trstprl_v1,trstprl_v2,trstprl_v3,trstprl_v4,trstprl_v5,trstprl_v6,trstprl_v7,trstprl_v8,trstprl_v9,stfdem_v0,stfdem_v1,stfdem_v2,stfdem_v3,stfdem_v4,stfdem_v5,stfdem_v6,stfdem_v7,stfdem_v8,stfdem_v9
BE,9,core,1751,0.06576260792856288,0.09530445426146059,0.16119354027388447,0.26084991211239456,0.36464738049163536,0.6083980602835545,0.7679380968148458,0.9193022436850729,0.9804237077852482,0.9918228604396685,1743,0.03833648011535905,0.059534179156370055,0.11221605459247033,0.18502330879125028,0.27952212333927595,0.4763493366693774,0.6573053628336929,0.8512791044447735,0.9561386031234382,0.985467572768404,0.005911951854146123,0.007384049277113315,0.009653961973462633,0.010868236041205771,0.01257452789064074,0.01413202202951792,0.01377449921387166,0.007881906868838044,0.003498953488002479,0.002562368924429474,0.005318552221684884,0.006617923056933048,0.00787346983810383,0.009447733404613095,0.010661259974294537,0.013602380778337428,0.01358395658451138,0.009343927926844242,0.00492272642759479,0.0034409824690667936
BE,10,core,1319,0.07313991672332744,0.11416077444215823,0.18732145903386307,0.2986991102636232,0.4050431275926508,0.5868455981966829,0.75152738104968,0.8923120575859547,0.9691126666317884,0.9914841512609632,1327,0.045774991583971705,0.07052989850244759,0.11282588897531606,0.1811851049931682,0.270304740852638,0.43773157414284053,0.6338581683923888,0.8172894570016519,0.95297149219499,0.9859210218028162,0.008465599817539065,0.009439576017479497,0.012128304362440799,0.014169331537537763,0.015232355571675063,0.014939341146430007,0.013088270626134085,0.010036689103668008,0.005327907922598265,0.0023435468357344276,0.006345349073062125,0.0078813417465678,0.009523915115797447,0.01191995868052396,0.012940750939685787,0.0141716532956109,0.01495426815256895,0.01244017660385873,0.005776699206992894,0.0033824531055745804
BE,11,core,1565,0.08876507092525132,0.12008986004255531,0.19948300428516624,0.319718321722956,0.4213873047975289,0.6048928436193718,0.7554284260444106,0.9048771714574325,0.9738120965029168,0.9855092157478785,1570,0.05387040879866592,0.08254216248467332,0.14050777430873443,0.23124464019201493,0.3291328680289641,0.5035465019752425,0.6570807691030947,0.8442333965645038,0.9474104331449529,0.987045189856919,0.007967221325101517,0.008851289098581738,0.011729942198276593,0.012138856572994568,0.013649535999663334,0.013611270348391564,0.011501781130463344,0.008386695157897113,0.004690647264217125,0.003781864789835861,0.006297663948535541,0.007528130436480293,0.009871968165441615,0.011850417554004204,0.013548693558572418,0.01492400218113456,0.0140703729359942,0.009901125591454145,0.006121111276213877,0.003024100760765077
BG,3,extended,1340,0.4083851950539465,0.5304697265653516,0.6366568665789824,0.7385392785966758,0.798960953757079,0.8907804043169373,0.9271361230398142,0.9492972351072555,0.9634287838171622,0.9766475321183222,1274,0.19900695385201686,0.3762934094781229,0.49655000036855446,0.6436259851783139,0.7609285258995259,0.8954018201726505,0.9409633056544298,0.9744312289330986,0.9858050338804957,0.9912249875816322,,,,,,,,,,,,,,,,,,,,
BG,4,extended,2154,0.41383003689595993,0.5956818533903916,0.694625945625476,0.7855699585824218,0.848780760891757,0.9279935056345008,0.9457647808259981,0.9629498755610267,0.9821081579933095,0.9910952441181384,2050,0.21428127502432268,0.4112954958591303,0.5687550224166588,0.7058714018577921,0.821135154687482,0.9234694610147666,0.9592916941384169,0.9753292633474405,0.9891007155400124,0.9971084178040122,,,,,,,,,,,,,,,,,,,,
BG,5,extended,2342,0.33159020410548,0.45817770251401296,0.5776586977693986,0.7024189760545096,0.792568818819425,0.9092074989671399,0.9359560154234491,0.9631783673039183,0.9787283441068245,0.9871374925701731,2254,0.13711693132805677,0.26335526994520897,0.4265946520173253,0.5896833579503529,0.7206770820691745,0.862828900197223,0.9225065442651829,0.9573210817894822,0.9746130767337301,0.9838812069435604,,,,,,,,,,,,,,,,,,,,
BG,6,extended,2174,0.3841769110808217,0.509473995176041,0.6281421390014502,0.7383404273809635,0.8301413961890106,0.9300496528167992,0.9546604727009259,0.971136228227806,0.9869350916589628,0.9911493423322011,2141,0.15512655473513012,0.2699053285111152,0.40137725315516204,0.563359397144823,0.7218939675923035,0.888008590418588,0.9358368145999805,0.9693012023210976,0.9851352478811809,0.9952045837158925,,,,,,,,,,,,,,,,,,,,
BG,9,core,2122,0.25629537393549934,0.40609151984794023,0.5450667167113137,0.6800856279525718,0.801990944239935,0.925184186515879,0.9481638240838562,0.9607457561772527,0.9796803392704468,0.9884518450101223,1938,0.15195632231927297,0.2695871338439305,0.42184235035173495,0.593047321045882,0.7520990267292419,0.901908386868889,0.9477781997609027,0.9755882598302728,0.9892311913064294,0.9928637322305192,0.01297025175843097,0.016371992661455937,0.017497728175651074,0.01691044374872771,0.013319006818587465,0.00861614826717783,0.007132693398940358,0.006309307326122294,0.0040795763612227745,0.002525198167612615,0.011897042873111637,0.014000321359146101,0.016597773851813533,0.015862725566311606,0.0133710260684922,0.009690558264303378,0.00758910353080961,0.0058737531459215455,0.00388866801101898,0.0033212351464367664
BG,10,core,2691,0.3312397891579991,0.45016550680302775,0.5954048292718037,0.7276779304555071,0.7989805219138674,0.9160485815006172,0.9540625760324579,0.9729079646342464,0.9903656002658578,0.9915969609833982,2681,0.1851217120304058,0.2703180213795526,0.4011431413814072,0.5599667069387704,0.6584692864364086,0.8226888397506331,0.893253079381242,0.9499612961901374,0.9789937501314602,0.9904399807147802,0.015368144576242745,0.016889612040191185,0.01649060031467964,0.0128628535563877,0.011478438567502972,0.007437727321140585,0.005704405902807713,0.0040983147350038465,0.0020093280037489754,0.0018712079307337864,0.011757577559005358,0.016055046408852965,0.016539282427689716,0.016768177227927526,0.01669602079638968,0.013704381769249367,0.011297280924576207,0.006757113117847778,0.004386064908273625,0.002875678311814101
BG,11,core,2216,0.30727777094912656,0.3984731046477795,0.5358037685533571,0.6749608943046234,0.7791065095979319,0.9219544978160394,0.9639649175425988,0.9899860819423657,0.9961784850046423,0.9973436485876094,2191,0.19384758530944374,0.2510124890265007,0.3646834897483528,0.5030574014329295,0.6320306167352681,0.8266660854273361,0.9140988444882759,0.9716279033818604,0.9882065182563179,0.9906545508216411,0.01327828682702532,0.012672515025253637,0.012882208388419978,0.012326632754041668,0.010674213483697148,0.00646171868303017,0.004154722935480311,0.0021209673944935785,0.0012440242332814428,0.0010422906917744836,0.010450380038004477,0.011178253424954081,0.013345893589524283,0.01404590520922331,0.013541960378958119,0.00958634068919712,0.006949631884700592,0.004825851301058494,0.00359863676656168,0.00325742908264067
