s_transport,rho,oracle_cov,plugin_cov,da_cov,oracle_w,plugin_w,da_w,clean_sup_mean,cont_sup_mean,dominance_ok
0.5,0.210432083380162,1.0,1.0,1.0,0.33622222836624316,0.3576040773140044,0.2788369428225411,0.09333622649453467,0.09348151890429465,1.0
0.5,0.2382572945355411,1.0,1.0,1.0,0.2888717974369595,0.31393206007017127,0.2710990705636636,0.08296927681623678,0.08883206840005212,1.0
0.5,0.1924144455925699,1.0,1.0,1.0,0.32841850531912964,0.3579076395739331,0.33994226607670985,0.10354384297509656,0.11166903804534409,1.0
0.5,0.16996337055584038,1.0,1.0,1.0,0.40020267981134683,0.38424604206598645,0.35961520979990214,0.11071519481293374,0.11634685482917746,1.0
0.5,0.195833844775766,0.0,0.0,1.0,0.32357385449855847,0.33278899052861743,0.3057673886672057,0.09598225598774544,0.10160867506180582,1.0
0.5,0.20011134404288416,1.0,1.0,1.0,0.3275977355380407,0.349331540173912,0.3443117645163566,0.09248740233278266,0.09851042178350575,1.0
0.5,0.17894586369865972,1.0,1.0,1.0,0.4205166266275716,0.393318830279093,0.37066656588016067,0.1101715192523442,0.11382397745646732,1.0
0.5,0.16411022901408376,1.0,1.0,1.0,0.45313233668118,0.4515496517722763,0.40824087047735613,0.11140787691854782,0.11118096412881241,0.0
0.5,0.23204771764658652,1.0,1.0,1.0,0.2939400063858112,0.27564909682733546,0.2730172120459058,0.08244356865687479,0.0890616490603186,1.0
0.5,0.203220201114291,1.0,1.0,1.0,0.32804348364518576,0.3591194564192622,0.31627683092528064,0.09447976543374827,0.09819216515163837,1.0
0.5,0.1856741382730589,1.0,1.0,1.0,0.34566441819768334,0.36994284433979663,0.3534060056679196,0.10562988737500927,0.11267957142415198,1.0
0.5,0.224306432378445,1.0,1.0,1.0,0.32486512162047665,0.36395440424540026,0.342456128080776,0.09244070091345485,0.09974081463821532,1.0
0.5,0.20013048117466378,1.0,1.0,0.0,0.3201308708451749,0.36079538557487767,0.3139716607046341,0.09636446748951039,0.09964389334797262,1.0
0.5,0.22481544112022847,0.0,0.0,1.0,0.3151921053207299,0.29329354334180957,0.2854994300267956,0.0844279593221692,0.0868528516335808,1.0
0.5,0.1930769649974617,0.0,1.0,1.0,0.3455046480629895,0.3741701183760874,0.36369729998126726,0.09707113701423667,0.10106164308422079,1.0
