deff,item,iso,persist
2.0,confid_parl,36,False
2.0,confid_parl,50,False
2.0,confid_parl,51,False
2.0,confid_parl,70,True
2.0,confid_parl,76,False
2.0,confid_parl,100,True
2.0,confid_parl,112,False
2.0,confid_parl,124,False
2.0,confid_parl,152,False
2.0,confid_parl,156,False
2.0,confid_parl,158,False
2.0,confid_parl,170,False
2.0,confid_parl,196,False
2.0,confid_parl,203,False
2.0,confid_parl,218,True
2.0,confid_parl,231,False
2.0,confid_parl,233,False
2.0,confid_parl,246,False
2.0,confid_parl,268,False
2.0,confid_parl,276,False
2.0,confid_parl,288,True
2.0,confid_parl,320,False
2.0,confid_parl,344,False
2.0,confid_parl,348,True
2.0,confid_parl,356,False
2.0,confid_parl,360,False
2.0,confid_parl,364,False
2.0,confid_parl,368,True
2.0,confid_parl,392,False
2.0,confid_parl,398,False
2.0,confid_parl,400,False
2.0,confid_parl,410,False
2.0,confid_parl,417,False
2.0,confid_parl,422,False
2.0,confid_parl,434,True
2.0,confid_parl,458,False
2.0,confid_parl,484,False
2.0,confid_parl,498,False
2.0,confid_parl,504,False
2.0,confid_parl,528,False
2.0,confid_parl,554,False
2.0,confid_parl,566,False
2.0,confid_parl,578,False
2.0,confid_parl,586,False
2.0,confid_parl,604,False
2.0,confid_parl,608,False
2.0,confid_parl,616,False
2.0,confid_parl,630,False
2.0,confid_parl,642,False
2.0,confid_parl,643,False
2.0,confid_parl,646,True
2.0,confid_parl,688,False
2.0,confid_parl,702,False
2.0,confid_parl,703,False
2.0,confid_parl,704,False
2.0,confid_parl,705,False
2.0,confid_parl,710,False
2.0,confid_parl,716,False
2.0,confid_parl,724,False
2.0,confid_parl,752,False
2.0,confid_parl,756,False
2.0,confid_parl,764,False
2.0,confid_parl,780,False
2.0,confid_parl,788,False
2.0,confid_parl,792,False
2.0,confid_parl,804,False
2.0,confid_parl,807,True
2.0,confid_parl,818,True
2.0,confid_parl,826,True
2.0,confid_parl,840,False
2.0,confid_parl,858,False
2.0,confid_parl,860,True
2.0,confid_parl,862,False
