outcome,f,rep,target,rho,branch,stable,w_adaptive,w_cons,cov_adaptive,cov_T1,cov_T2,cov_T3
b13,1.0,5,11,0.11413531432770985,T1,True,0.32742883163184994,0.3588981989303567,1,1,1,1
b13,1.0,5,12,0.11663388075543048,T1,True,0.32624212398988994,0.35759743615624884,1,1,1,1
b13,1.0,5,13,0.11330362268130961,T1,True,0.3273976135323314,0.35886398044191326,1,1,1,1
b13,1.0,5,14,0.11614467096969568,T1,True,0.32662297921010075,0.35801489558370875,1,1,1,1
b13,1.0,5,15,0.11215092409265867,T1,True,0.32732421333762657,0.3587835257136311,1,1,1,1
b13,1.0,5,16,0.11104665858668314,T1,True,0.32725718892022104,0.358710059542154,1,1,1,1
b13,1.0,5,21,0.12356589813923594,T1,True,0.31079811235626253,0.3399050721749481,0,0,1,0
b13,1.0,5,22,0.11612713209960393,T1,True,0.3263473981587716,0.35771282828411133,1,1,1,1
b13,1.0,5,23,0.1132201489924754,T1,True,0.3264042570165051,0.35777515187831677,1,1,1,1
b13,1.0,5,24,0.11440654945310327,T1,True,0.32774521943108986,0.35924499493712503,1,1,1,1
b13,1.0,5,25,0.1138444636997957,T1,True,0.32706881353965306,0.35850357929888493,1,1,1,1
b13,1.0,5,26,0.11625122925907466,T1,True,0.3281032660652321,0.359637453632611,1,1,1,1
b13,1.0,5,27,0.12003483183052423,T1,True,0.3283904765247288,0.35995226804926944,1,1,1,1
b13,1.0,5,28,0.11481196394497815,T1,True,0.3273111563240955,0.3587692137832603,1,1,1,1
b13,1.0,5,40,0.1156054628465828,T1,True,0.3277094653934698,0.3592058045590439,1,1,1,1
b13,1.0,5,41,0.114865534291437,T1,True,0.3270444655852833,0.35847689124906534,1,1,1,1
b13,1.0,6,1,0.11635974375567165,T1,True,0.32740998033720575,0.35616359883180376,1,1,1,1
b13,1.0,6,2,0.1160265763560863,T1,True,0.32652861977510966,0.35520483590911806,1,1,1,1
b13,1.0,6,3,0.11946085421609134,T1,True,0.3269291387547622,0.3556405290454317,1,1,1,1
b13,1.0,6,4,0.11894732321877634,T1,True,0.32586256524354995,0.355748321099337,1,1,1,1
b13,1.0,6,5,0.1155086771432465,T1,True,0.3277384507554404,0.3565209159977245,1,1,1,1
b13,1.0,6,6,0.11493946679202134,T1,True,0.3255496962309016,0.3541399418819804,1,1,1,1
b13,1.0,6,7,0.1176056895763268,T1,True,0.325531645553955,0.3541203059684508,1,1,1,1
b13,1.0,6,8,0.11381672079499082,T1,True,0.3272897934431368,0.35603285695069214,1,1,1,1
b13,1.0,6,9,0.12298052875110937,T1,True,0.31304111462525197,0.3412420349100239,0,0,0,0
b13,1.0,6,10,0.11574050879883703,T1,True,0.3278562543411085,0.35664906526484097,1,1,1,1
b13,1.0,6,11,0.11432249731977262,T1,True,0.32742883163184994,0.35618410567443637,1,1,1,1
b13,1.0,6,12,0.11663584152455468,T1,True,0.32624212398988994,0.35489317964925415,1,1,1,1
b13,1.0,6,13,0.11405104627782167,T1,True,0.3273976135323314,0.35615014595622074,1,1,1,1
b13,1.0,6,14,0.1167485348509984,T1,True,0.32662297921010075,0.35530748212630286,1,1,1,1
b13,1.0,6,15,0.11286588960600125,T1,True,0.32732421333762657,0.3560702996501488,1,1,1,1
b13,1.0,6,16,0.11213279969022559,T1,True,0.32725718892022104,0.35599738905136935,1,1,1,1
b13,1.0,6,21,0.12433586877737336,T1,True,0.31079811235626253,0.3411177451227511,0,0,1,0
b13,1.0,6,22,0.11659179887295475,T1,True,0.3263473981587716,0.35500769914806213,1,1,1,1
b13,1.0,6,23,0.11386815983218404,T1,True,0.3264042570165051,0.3550695514330015,1,1,1,1
b13,1.0,6,24,0.11511215447704828,T1,True,0.32774521943108986,0.35652827910826906,1,1,1,1
b13,1.0,6,25,0.11404562955236514,T1,True,0.32706881353965306,0.3557924702721516,1,1,1,1
b13,1.0,6,26,0.11659219830757002,T1,True,0.3281032660652321,0.35691776991619856,1,1,1,1
b13,1.0,6,27,0.12061356762049152,T1,True,0.3283904765247288,0.35723020361406915,1,1,1,1
b13,1.0,6,28,0.11511872714297769,T1,True,0.3273111563240955,0.3560560959507857,1,1,1,1
b13,1.0,6,40,0.11598103381776745,T1,True,0.3277094653934698,0.3564893850993009,1,1,1,1
b13,1.0,6,41,0.11549549500441308,T1,True,0.3270444655852833,0.35576598404517834,1,1,1,1
b13,1.0,7,1,0.11678167628352028,T1,True,0.32740998033720575,0.35560534936092536,1,1,1,1
