outcome,cntry,threshold,core,cdf_first,cdf_last,cdf_diff,cdf_lower
stfdem,HU,0,False,0.05524384989362706,0.12419923856483757,0.06895538867121051,0.03505061614968994
stfdem,HU,1,True,0.08628047107056379,0.18819750164789828,0.10191703057733449,0.05906670010511128
stfdem,HU,2,True,0.16068262213716397,0.2898859106597232,0.12920328852255922,0.07730974384724826
stfdem,HU,3,True,0.2819099112647655,0.3860510203308851,0.10414110906611962,0.04367687759744417
stfdem,HU,4,True,0.39189334459508696,0.48536892797456266,0.0934755833794757,0.028433792046529627
stfdem,HU,5,False,0.6534496346376217,0.6359460940654478,-0.01750354057217396,-0.07985687304622893
stfdem,HU,6,False,0.7482852781946154,0.7521407892134494,0.003855511018833968,-0.0513393100223808
stfdem,HU,7,False,0.8621612095137566,0.864298532862908,0.0021373233491513988,-0.04256211663412112
stfdem,HU,8,False,0.9547852243676713,0.9443783291975665,-0.010406895170104846,-0.036858878611788305
stfdem,HU,9,False,0.9790291849312551,0.9794790363909047,0.0004498514596495973,-0.015763176862455874
stfdem,IL,0,False,0.07856659321081004,0.1319344401583774,0.05336784694756737,0.013468589712106196
stfdem,IL,1,True,0.11530330737803522,0.21524211849210753,0.09993881111407231,0.05366126935808772
stfdem,IL,2,True,0.19142565888361965,0.30330858258734916,0.11188292370372951,0.058741117105474
stfdem,IL,3,True,0.28820312255534375,0.3987253178989343,0.11052219534359053,0.05143787375178923
stfdem,IL,4,True,0.3724382377354719,0.4996460528201557,0.12720781508468376,0.06482660809517449
stfdem,IL,5,False,0.541100240668981,0.6327735586339547,0.09167331796497369,0.02885254592646727
stfdem,IL,6,False,0.6603830567305297,0.7571281713239723,0.0967451145934426,0.03824135618607631
stfdem,IL,7,False,0.8052038634303733,0.8629808662173967,0.05777700278702336,0.009377626207999444
stfdem,IL,8,False,0.9295658622451741,0.9612054607747784,0.031639598529604296,0.0025441969962587165
stfdem,IL,9,False,0.9698787774548537,0.982987561063005,0.013108783608151264,-0.006741464869024348
stfdem,UA,0,False,0.1319711241775301,0.27850982499602916,0.14653870081849907,0.0974765209569311
stfdem,UA,1,True,0.20410171888731574,0.36182127173186734,0.1577195528445516,0.10228118550682444
stfdem,UA,2,True,0.31757307867329165,0.4701025083292194,0.15252942965592775,0.09342490910845878
stfdem,UA,3,True,0.447435212641755,0.5857059189998949,0.13827070635813987,0.0768831898901148
stfdem,UA,4,True,0.5452299461496695,0.6809684031733151,0.13573845702364562,0.07597572323945234
stfdem,UA,5,False,0.7145391173740617,0.8429767055054037,0.12843758813134198,0.07883009037155944
stfdem,UA,6,False,0.7923897238020814,0.9003741655461089,0.10798444174402755,0.0641419637075235
stfdem,UA,7,False,0.871755637978405,0.9481615161704199,0.07640587819201483,0.041529237489663494
stfdem,UA,8,False,0.9344251681584014,0.9759601314978098,0.041534963339408426,0.016902572320715906
stfdem,UA,9,False,0.9651927081517724,0.9820288689384982,0.016836160786725785,-0.0021348114167464537
trstprl,CY,0,False,0.050639694996276706,0.16601462251889237,0.11537492752261566,0.055874753777441735
trstprl,CY,1,True,0.07616436146400056,0.20445515216524,0.12829079070123944,0.06231799596250605
trstprl,CY,2,True,0.11570775954920613,0.282437822455286,0.16673006290607983,0.09185692747375819
trstprl,CY,3,True,0.17156960827192397,0.4044921952375131,0.23292258696558915,0.14967757941536686
trstprl,CY,4,True,0.24299505195697513,0.5189581721357485,0.27596312017877334,0.18951359765551526
trstprl,CY,5,False,0.47052808144174424,0.773026637967057,0.3024985565253127,0.2196698063037278
trstprl,CY,6,False,0.5815558495179144,0.872289304642489,0.2907334551245746,0.21580943288994556
trstprl,CY,7,False,0.7244605584195425,0.9463660022498818,0.22190544383033928,0.16202847754335242
trstprl,CY,8,False,0.8849400370519367,0.9835697439105822,0.09862970685864547,0.05847085260023969
trstprl,CY,9,False,0.9662603204715672,0.99233268743975,0.026072366968182825,0.0052061189332995375
trstprl,ES,0,False,0.06872039691647464,0.14898761781947553,0.0802672209030009,0.04062003274742579
trstprl,ES,1,True,0.10684800071945738,0.19226591186388908,0.0854179111444317,0.040479933594423444
trstprl,ES,2,True,0.18668066515317747,0.25667685410722996,0.06999618895405249,0.01587257755129779
trstprl,ES,3,True,0.2818815449602219,0.3494938749879686,0.06761233002774669,0.005644676933938171
trstprl,ES,4,True,0.38228559636738174,0.45779387582085185,0.0755082794534701,0.011867894948296584
trstprl,ES,5,False,0.6334513453773517,0.666964836300186,0.03351349092283429,-0.02829957723520972
trstprl,ES,6,False,0.77181372726313,0.7910706322709857,0.019256905007855707,-0.03306106468682595
trstprl,ES,7,False,0.8807578837754235,0.8949079706426788,0.014150086867255274,-0.026662014499530207
trstprl,ES,8,False,0.951077512976522,0.9697340847751158,0.018656571798593813,-0.006531130335983914
trstprl,ES,9,False,0.9739013273188682,0.9832994036679079,0.009398076349039663,-0.009347848885799068
trstprl,GB,0,False,0.06463148120223627,0.14899930102495895,0.08436781982272268,0.044253299226964395
trstprl,GB,1,True,0.0948506377506012,0.22101762639808362,0.12616698864748244,0.07735076192867706
trstprl,GB,2,True,0.16889082464071467,0.32796585042628273,0.15907502578556806,0.10071773042489914
trstprl,GB,3,True,0.30273499350312627,0.4579316714548258,0.1551966779516995,0.0914707217634008
trstprl,GB,4,True,0.4415910528300692,0.5661992981873384,0.12460824535726917,0.061197577890808624
trstprl,GB,5,False,0.6364188788283163,0.7282522377583213,0.091833358930005,0.03199825142362409
trstprl,GB,6,False,0.7686946649486934,0.8491811024108868,0.08048643746219342,0.03181838703925715
trstprl,GB,7,False,0.8878040072148901,0.9280038106259861,0.04019980341109608,0.0026021520224523975
trstprl,GB,8,False,0.9666853888865711,0.9772477880909731,0.010562399204402051,-0.010406327925006901
trstprl,GB,9,False,0.9824794077232006,0.9901351889890369,0.0076557812658362145,-0.007164391630810282
trstprl,GR,0,False,0.10097296630431103,0.10458505909154284,0.003612092787231805,-0.025837532719398874
trstprl,GR,1,True,0.14708818481767447,0.21592303571736726,0.0688348508996928,0.03103932594588671
trstprl,GR,2,True,0.21068563339111765,0.4066885474722838,0.19600291408116613,0.15212530577452354
trstprl,GR,3,True,0.32018325848230517,0.6103171085247391,0.2901338500424339,0.24392296352472392
trstprl,GR,4,True,0.4145797048580126,0.7193227120786192,0.3047430072206066,0.26018729972566323
trstprl,GR,5,False,0.6110808490313683,0.8487043154931971,0.23762346646182886,0.19689985215245065
trstprl,GR,6,False,0.7153760191266956,0.9205260021944307,0.20514998306773513,0.1694548930193921
trstprl,GR,7,False,0.8239276001690254,0.9650429496130383,0.14111534944401283,0.11282522502389788
trstprl,GR,8,False,0.9148422669666798,0.9891785873164114,0.07433632034973159,0.054400958152893156
trstprl,GR,9,False,0.9551080204557123,0.9962177247231808,0.041109704267468516,0.02694937423928441
trstprl,HU,0,False,0.07507741382461969,0.13614144358048044,0.061064029755860755,0.023105781192766572
