rho_true,rho_hat,branch,stable,cov_adaptive,cov_T1,cov_T3,w_T1,w_T3,w_T2
0.1,0.11004340122147643,T1,True,0,0,0,0.19923695683196707,0.1979950628553431,0.21458810713789636
0.1,0.10524616438885584,T1,True,1,1,1,0.23338897824651272,0.232787559844256,0.24610427172855745
0.1,0.11556009574450148,T1,True,1,1,1,0.2249066209745366,0.223992242308739,0.23491850688932742
0.1,0.12325448908437767,T1,True,0,0,0,0.17637507032921004,0.17542372663404399,0.1906790390560612
0.1,0.10241216385454321,T1,True,1,1,1,0.22519959996612116,0.2244285838561303,0.23846294384620845
0.1,0.10910642288910656,T1,True,1,1,1,0.2159487796328533,0.21481271733942328,0.2314863627689651
0.1,0.10261293471343812,T1,True,1,1,1,0.22088867368570805,0.21995681528850944,0.23238124577481467
0.1,0.12800854170155435,T1,True,1,1,1,0.18112206642006456,0.1792102585570431,0.19715657198393283
0.1,0.11183198456771795,T1,True,1,1,1,0.20000082826194598,0.19875840880964127,0.21865402987870503
0.1,0.10998491200910174,T1,True,1,1,1,0.21701928187661118,0.2161558701644746,0.23086920918328163
0.1,0.10019807890629565,T1,True,1,1,1,0.24602516960775245,0.24524222236511292,0.2627443995821342
0.1,0.10686412474883442,T1,True,1,1,1,0.2185745271833572,0.21770053859912608,0.23101287460646475
0.1,0.1040923199622067,T1,True,1,1,1,0.22430858441118345,0.22294417833063898,0.24132919834374617
0.1,0.10458051540349612,T1,True,1,1,1,0.23139335137005348,0.2304612038735385,0.249752601053881
0.1,0.0930318537618054,T1,True,1,1,1,0.25349029042716525,0.25262559562812326,0.2683662410719168
0.1,0.101369997868868,T1,True,1,1,1,0.226733907367221,0.22523928951737196,0.24213942682345174
0.1,0.10778006312562763,T1,True,1,1,1,0.25140484035409216,0.2501337494936924,0.2640960359484649
0.1,0.10309991206460146,T1,True,1,1,1,0.2027395340143664,0.20198484432205993,0.2175336580403987
0.1,0.10365766088181691,T1,True,1,1,1,0.24518262034503754,0.24344532948351952,0.2625731935862558
0.1,0.10145554702402065,T1,True,1,1,1,0.20622274197164028,0.2058518735329644,0.2184575980916753
0.1,0.11462673462925935,T1,True,1,1,1,0.2124741057814614,0.21073893518813727,0.2309102190548231
0.1,0.09659138025689956,T1,True,1,1,1,0.23830978634516034,0.2375581495533031,0.2518897919968202
0.1,0.09675799121814356,T1,True,1,1,1,0.23232894216288305,0.23172712390978412,0.24486700078173312
0.1,0.09281125655648943,T1,True,1,1,1,0.26782761630718444,0.26682135881245606,0.2797884761961419
0.1,0.11326192184256305,T1,True,1,1,1,0.21570365615250534,0.21447117637409674,0.23021839314066384
0.1,0.10374322729932668,T1,True,0,0,0,0.21817707292820537,0.21720560132856404,0.23244923065070408
0.1,0.11493532115765623,T1,True,1,1,1,0.1914505000372,0.18985447433015895,0.20899423627538008
0.1,0.09987066348714368,T1,True,1,1,1,0.25552052727961555,0.25453130125260653,0.26607840139301625
0.1,0.10882871479928707,T1,True,1,1,1,0.22841384605336415,0.22724399852505273,0.2465398987123196
0.1,0.11038687904527796,T1,True,1,1,1,0.20552758902681484,0.2034959678578556,0.22169698578304128
0.1,0.10519411141894279,T1,True,1,1,1,0.22157899653578508,0.22048969245413116,0.23969126384259895
0.1,0.11351508433327213,T1,True,1,1,1,0.1956337932317136,0.19440049081224858,0.21233418476044277
0.1,0.1096216859900927,T1,True,1,1,1,0.19153218671718583,0.19030589150483548,0.20896239111559875
0.1,0.10435727780246243,T1,True,1,1,1,0.19291095678673353,0.191383373116857,0.2093747328452342
0.1,0.12136625035047824,T1,True,1,1,1,0.1915054699946093,0.18991892220348264,0.20948763500189008
0.1,0.09136838028846979,T1,True,1,1,1,0.2259076853206003,0.22527649194289934,0.23836192982697285
0.1,0.11053498375493737,T1,True,1,1,1,0.19857153285834855,0.1967524819657825,0.22022920569497956
0.1,0.09113199886504988,T1,True,1,1,1,0.2611414016541088,0.2599598364557832,0.279182356506205
0.1,0.11772308988122722,T1,True,0,0,0,0.1872484344056963,0.18615693263400954,0.2033581311151839
0.1,0.10696471168317927,T1,True,1,1,1,0.2106466736620639,0.20913306638598111,0.23042410292800297
0.1,0.11597903842961677,T1,True,1,1,1,0.24561272830442238,0.24376894535934665,0.26104832816677037
0.1,0.10244584541489878,T1,True,1,1,1,0.23247261844585382,0.23050001237918435,0.25513833310290523
0.1,0.10645193310024599,T1,True,1,1,1,0.2506881355146591,0.24957086061011344,0.2640114717970347
0.1,0.10536713844305132,T1,True,1,1,1,0.2178448472521916,0.21713357215756757,0.23479548880941867
0.1,0.11094341319612985,T1,True,1,1,1,0.20274881737025327,0.20130681031014933,0.22029535020365823
0.1,0.10585248582035202,T1,True,1,1,1,0.21335748173274294,0.21272607451606268,0.22742591179421565
0.1,0.11448124079975679,T1,True,1,1,1,0.20537791158639743,0.20418470067493813,0.22298732680203187
0.1,0.09897537177384443,T1,True,1,1,1,0.23747817444003155,0.23637948154223987,0.25255535981649835
0.1,0.09819403893931314,T1,True,1,1,1,0.2746299166075086,0.272859857018694,0.29186734044023066
0.1,0.10548473770756835,T1,True,1,1,1,0.20925562717497415,0.20824572772809033,0.22410021954496528
0.1,0.1044348494272548,T1,True,1,1,1,0.21333315347955578,0.2124768574483064,0.23086995909486663
0.1,0.10472940278657397,T1,True,0,0,0,0.23737450262310217,0.23542679623824478,0.25648426634070587
0.1,0.09790707831661752,T1,True,0,0,0,0.22199442013057705,0.2211585748536152,0.23594324671030967
0.1,0.10344685293180864,T1,True,1,1,1,0.23231842907754643,0.23071947822608613,0.25293615891696436
0.1,0.09144658535466227,T1,True,1,1,1,0.26768167805080123,0.26660633324625665,0.2818389021293622
0.1,0.10167652522686707,T1,True,1,1,1,0.2341660526193326,0.23258856503058495,0.25645947545665226
0.1,0.08914929604453001,T1,True,1,1,1,0.26962205540957607,0.2684445634531026,0.2875129153455716
0.1,0.11029038531882904,T1,True,1,1,1,0.21843752806854358,0.21727818402779403,0.2344753863933591
0.1,0.11281694867660876,T1,True,0,0,0,0.21135276812123163,0.2099336364680619,0.22899896395658176
