outcome,layer,cntry,essround,n,gap,m2_marg,m2_sim,m2_width,pcb_sim,pcb_width,da_sim,da_width,da_width_deploy
trstprl,all,IE,8,2681,1,1.0,1.0,0.18591023079050162,1.0,0.27848240646419614,,,
trstprl,all,IE,9,2127,1,1.0,1.0,0.18591023079050162,1.0,0.27353194392074676,,,
trstprl,all,IE,10,1677,1,1.0,1.0,0.18591023079050162,1.0,0.2783651017060912,,,
trstprl,all,IE,11,1935,1,1.0,1.0,0.18591023079050162,1.0,0.2825795076084413,,,
trstprl,all,IL,4,2381,3,0.5,0.0,0.18669789556809224,0.0,0.28774086042530966,,,
trstprl,all,IL,5,2209,1,1.0,1.0,0.18669789556809224,1.0,0.2852180381507286,,,
trstprl,all,IL,6,2422,1,1.0,1.0,0.18669789556809224,1.0,0.28387579357672477,,,
trstprl,all,IL,7,2508,1,1.0,1.0,0.18669789556809224,1.0,0.2881136764873588,,,
trstprl,all,IL,8,2510,1,1.0,1.0,0.18669789556809224,1.0,0.28951071859610383,,,
trstprl,all,IL,10,1291,2,1.0,1.0,0.18669789556809224,1.0,0.28911597160488317,,,
trstprl,all,IL,11,872,1,0.9,0.0,0.18669789556809224,1.0,0.2909104238135503,,,
trstprl,all,IS,6,734,4,0.0,0.0,0.1825626443501844,0.0,0.2420115457173278,,,
trstprl,all,IS,8,876,2,0.6,0.0,0.1825626443501844,0.0,0.2728049835986665,,,
trstprl,all,IS,9,851,1,1.0,1.0,0.1825626443501844,1.0,0.25739407962453054,,,
trstprl,all,IS,10,893,1,0.6,0.0,0.1825626443501844,0.0,0.25319970980508055,,,
trstprl,all,IS,11,834,1,0.9,0.0,0.1825626443501844,1.0,0.23979184673927686,,,
trstprl,all,IT,6,951,5,0.3,0.0,0.18346735831209376,0.0,0.2631280971378599,,,
trstprl,all,IT,8,2565,2,1.0,1.0,0.18346735831209376,1.0,0.2695368866109521,,,
trstprl,all,IT,9,2656,1,0.4,0.0,0.18346735831209376,1.0,0.2692306426943307,,,
trstprl,all,IT,10,2611,1,1.0,1.0,0.18346735831209376,1.0,0.28045192853947737,,,
trstprl,all,IT,11,2809,1,1.0,1.0,0.18346735831209376,1.0,0.2710647480993413,,,
trstprl,all,LT,6,2047,1,0.6,0.0,0.1867023471161426,0.0,0.24889269220400762,,,
trstprl,all,LT,7,2215,1,1.0,1.0,0.1867023471161426,1.0,0.2696342624759585,,,
trstprl,all,LT,8,2083,1,1.0,1.0,0.1867023471161426,1.0,0.27290918890952354,,,
trstprl,all,LT,9,1809,1,1.0,1.0,0.1867023471161426,1.0,0.27676864333277124,,,
trstprl,all,LT,10,1642,1,1.0,1.0,0.1867023471161426,1.0,0.2758277236531179,,,
trstprl,all,LT,11,1354,1,1.0,1.0,0.1867023471161426,1.0,0.28816193681655344,,,
trstprl,all,LU,2,1456,1,1.0,1.0,0.1852291774250488,1.0,0.2468234327574476,,,
trstprl,all,LV,9,887,5,0.5,0.0,0.18645572968271246,0.0,0.24366076270547055,,,
trstprl,all,LV,10,1017,1,1.0,1.0,0.18645572968271246,1.0,0.2721496841251686,,,
trstprl,all,LV,11,1222,1,1.0,1.0,0.18645572968271246,1.0,0.2816309949868453,,,
