deff,outcome,cntry,n_pairs,n_pairs_weightsonly,any_da,net_da,persist_da
1.5,stfdem,SE,10,8,False,False,False
1.5,stfdem,SI,10,8,True,False,False
1.5,stfdem,SK,6,4,True,False,False
1.5,stfdem,UA,4,4,True,True,False
2.0,trstprl,AT,6,4,True,False,False
2.0,trstprl,BE,10,8,False,False,False
2.0,trstprl,BG,5,3,True,False,False
2.0,trstprl,CH,10,8,False,False,False
2.0,trstprl,CY,5,3,True,True,False
2.0,trstprl,CZ,7,6,True,False,False
2.0,trstprl,DE,10,8,True,False,False
2.0,trstprl,DK,6,6,False,False,False
2.0,trstprl,EE,9,7,True,False,False
2.0,trstprl,ES,10,8,True,True,False
2.0,trstprl,FI,10,8,True,False,False
2.0,trstprl,FR,10,8,True,True,False
2.0,trstprl,GB,10,8,True,True,False
2.0,trstprl,GR,3,2,True,True,False
2.0,trstprl,HR,3,1,True,False,False
2.0,trstprl,HU,10,8,True,True,False
2.0,trstprl,IE,10,8,True,False,False
2.0,trstprl,IL,5,4,False,True,False
2.0,trstprl,IS,3,1,True,False,False
2.0,trstprl,IT,3,1,False,True,False
2.0,trstprl,LT,6,4,True,False,False
2.0,trstprl,LU,1,1,False,False,False
2.0,trstprl,LV,2,0,False,False,False
2.0,trstprl,ME,2,0,False,False,False
2.0,trstprl,NL,10,8,True,False,False
2.0,trstprl,NO,10,8,True,False,False
2.0,trstprl,PL,10,8,True,False,False
2.0,trstprl,PT,10,8,True,False,False
2.0,trstprl,RS,2,0,False,False,False
2.0,trstprl,RU,3,3,True,False,False
2.0,trstprl,SE,10,8,True,False,False
2.0,trstprl,SI,10,8,True,False,False
2.0,trstprl,SK,6,4,True,False,False
2.0,trstprl,UA,4,4,True,True,False
2.0,stfdem,AT,6,4,True,False,False
2.0,stfdem,BE,10,8,True,True,False
2.0,stfdem,BG,5,3,False,False,False
2.0,stfdem,CH,10,8,False,False,False
2.0,stfdem,CY,5,3,True,True,False
2.0,stfdem,CZ,7,6,False,False,False
2.0,stfdem,DE,10,8,True,False,False
2.0,stfdem,DK,6,6,False,False,False
2.0,stfdem,EE,9,7,True,False,False
2.0,stfdem,ES,10,8,True,True,False
2.0,stfdem,FI,10,8,True,False,False
2.0,stfdem,FR,10,8,True,True,False
2.0,stfdem,GB,10,8,True,True,False
2.0,stfdem,GR,3,2,True,False,False
2.0,stfdem,HR,3,1,False,False,False
2.0,stfdem,HU,10,8,True,True,False
2.0,stfdem,IE,10,8,True,False,False
2.0,stfdem,IL,5,4,True,True,False
2.0,stfdem,IS,3,1,True,False,False
2.0,stfdem,IT,3,1,False,False,False
2.0,stfdem,LT,6,4,True,False,False
2.0,stfdem,LU,1,1,False,False,False
2.0,stfdem,LV,2,0,True,False,False
2.0,stfdem,ME,2,0,False,False,False
2.0,stfdem,NL,10,8,True,False,False
2.0,stfdem,NO,10,8,False,False,False
2.0,stfdem,PL,10,8,True,False,False
2.0,stfdem,PT,10,8,True,False,False
2.0,stfdem,RS,2,0,False,False,False
2.0,stfdem,RU,3,3,False,False,False
2.0,stfdem,SE,10,8,False,False,False
2.0,stfdem,SI,10,8,True,False,False
2.0,stfdem,SK,6,4,True,False,False
2.0,stfdem,UA,4,4,True,True,False
