method,K,L,T,hetero,eff_K,attainable,coverage,round_cov,mean_width,max_width,cal_mean,cal_q90,tgt_mean,cal_target_ratio
S3,20,2,10,1,20,0.905,0.862,0.9185,0.1915770349019231,0.24064898978310414,1.6577762367559117,2.402228410454734,1.7569024254122396,0.9435790017575569
U0,20,4,10,0,20,0.905,0.907,0.96725,0.21112400711784668,0.21112400711784668,0.07155635009011316,0.1012803913090357,0.07125660618102657,1.0042065420338024
S1,20,4,10,0,12,0.923,0.917,0.973,0.29974693354810644,0.43181783544257857,2.5581365077810814,4.067778687079949,2.551326088969519,1.002669364312546
S2,20,4,10,0,20,0.905,0.896,0.964,0.2093438739172689,0.22306368971508123,1.8766248087033037,2.647560639020746,1.9086047011759308,0.9832443604205084
S3,20,4,10,0,20,0.905,0.83,0.9385,0.201493433259819,0.25159882133732325,1.8714139338123317,2.5930398524479914,2.035742888038459,0.9192781391050484
U0,20,4,10,1,20,0.905,0.915,0.96875,0.22386625319863424,0.22386625319863424,0.07625417684810112,0.10732649396458481,0.07696485084868783,0.9907662524808385
S1,20,4,10,1,12,0.923,0.927,0.97775,0.3159522000846198,0.48049423503465644,2.642008746716005,4.231839542550124,2.6325158183311768,1.0036060290003674
S2,20,4,10,1,20,0.905,0.901,0.9635,0.21347011292264093,0.24159802379528128,1.8981136209271927,2.6571753343341187,1.951323707081966,0.9727312869916677
S3,20,4,10,1,20,0.905,0.804,0.929,0.20494386943255327,0.2717228975979066,1.896306535545388,2.6042569153724116,2.0947311124780263,0.9052744403562585
U0,20,8,10,0,20,0.905,0.889,0.9735,0.2247633287528399,0.22476332875283997,0.07966042973544663,0.10842129060732679,0.08020257493235017,0.9932403018561332
S1,20,8,10,0,12,0.923,0.914,0.984625,0.34562605614792746,0.5255024531570778,2.981992887420613,4.644625084987143,3.0290589220959108,0.9844618292724622
S2,20,8,10,0,20,0.905,0.887,0.972875,0.2236564060737343,0.23419881184107383,2.0890038737886862,2.829864582698979,2.127682870713644,0.9818210704906486
S3,20,8,10,0,20,0.905,0.778,0.94725,0.212214032016127,0.27495917639927236,2.0733483118299962,2.752975129681801,2.3383283721185353,0.8866797052766092
U0,20,8,10,1,20,0.905,0.889,0.977125,0.23877275093575318,0.2387727509357532,0.08500893414788466,0.1153019459852967,0.0861442597375207,0.9868206472132287
S1,20,8,10,1,12,0.923,0.909,0.98475,0.3521871963741965,0.5680226836531876,3.0502879829594614,4.70156172366171,3.1090274771425426,0.9811067947726638
S2,20,8,10,1,20,0.905,0.872,0.973625,0.22787297523602537,0.25542985449269406,2.1121308134955443,2.8454907192018095,2.1746945859848372,0.9712310073826022
S3,20,8,10,1,20,0.905,0.771,0.947875,0.2157824171903655,0.2975860111438469,2.097697837068402,2.763937644028448,2.391214439087073,0.8772520786003906
U0,30,1,10,0,30,0.903,0.899,0.899,0.1741470748304259,0.17414707483042594,0.052378555363461254,0.08413601540192589,0.05301380629363512,0.9880172548514002
S1,30,1,10,0,20,0.905,0.904,0.904,0.19280660495514304,0.2325088544481684,1.624591889621355,2.783463974217839,1.6449525887759346,0.987622318543703
S2,30,1,10,0,30,0.903,0.877,0.877,0.17104083630584527,0.1890493857198797,1.370383895721707,2.17786871364798,1.4308300850624833,0.9577544601753766
S3,30,1,10,0,30,0.903,0.877,0.877,0.17104083630584527,0.1890493857198797,1.370383895721707,2.17786871364798,1.4308300850624833,0.9577544601753766
U0,30,1,10,1,30,0.903,0.893,0.893,0.18349784474648917,0.18349784474648922,0.05532521176880505,0.08847691097217468,0.05617055538676644,0.9849504137507503
S1,30,1,10,1,20,0.905,0.896,0.896,0.19861520174749267,0.2523406733019077,1.6577993192495084,2.797102021034634,1.6921214990274993,0.9797164802895557
S2,30,1,10,1,30,0.903,0.881,0.881,0.1741984639671854,0.20331585439006022,1.3866622366827348,2.193086121513986,1.4539824760567976,0.9536994148948511
S3,30,1,10,1,30,0.903,0.881,0.881,0.1741984639671854,0.20331585439006022,1.3866622366827348,2.193086121513986,1.4539824760567976,0.9536994148948511
U0,30,2,10,0,30,0.903,0.895,0.9385,0.19183044899049143,0.19183044899049145,0.06238718657343831,0.09334805328693688,0.06264002683488562,0.9959635990879477
S1,30,2,10,0,20,0.905,0.901,0.944,0.2268126231748245,0.29634842194074523,1.9811317122883807,3.190812014010752,1.9858680766658638,0.9976149652471199
S2,30,2,10,0,30,0.903,0.878,0.93,0.1900661009692522,0.20433103107430173,1.623346527428301,2.414470361900196,1.6667492481069306,0.9739596578621975
S3,30,2,10,0,30,0.903,0.866,0.921,0.1873632477313375,0.21736371323903053,1.6245271194325979,2.3950362793112974,1.7126859696263772,0.9485259692919589
U0,30,2,10,1,30,0.903,0.886,0.935,0.20247548357282485,0.20247548357282483,0.06601281793315135,0.098410354456832,0.06673441068960347,0.9891870962971652
S1,30,2,10,1,20,0.905,0.899,0.944,0.2324780017381073,0.32003210405370747,2.0351470692697156,3.265597115378607,2.0712499865702263,0.9825695026990473
S2,30,2,10,1,30,0.903,0.879,0.9275,0.19374792206535418,0.22029005699745569,1.6468894147418434,2.435895012371709,1.7026608132659853,0.9672445632802442
S3,30,2,10,1,30,0.903,0.852,0.914,0.19051162727405963,0.23259223404262475,1.6494708824089939,2.419506058768353,1.7466652041548405,0.9443543493540446
U0,30,4,10,0,30,0.903,0.889,0.95875,0.20786654203339686,0.20786654203339688,0.07131649767706412,0.10161523860673821,0.07340621613744239,0.9715321321498771
S1,30,4,10,0,20,0.905,0.886,0.96425,0.2586566674268207,0.3580101064305948,2.369519534961132,3.7008622066762915,2.450286001882467,0.967037942975112
S2,30,4,10,0,30,0.903,0.875,0.9555,0.20683695462003024,0.2177595256677003,1.8574011315624264,2.6310446621138786,1.9397155392055137,0.9575636705592396
S3,30,4,10,0,30,0.903,0.842,0.9395,0.20185678708024815,0.24287977282009474,1.854245110924838,2.593623560927082,2.0131953485911085,0.9210457952937808
U0,30,4,10,1,30,0.903,0.9,0.9655,0.2195979847190752,0.21959798471907516,0.07600008676731258,0.10700127273232463,0.07549837872143776,1.0066452823805123
S1,30,4,10,1,20,0.905,0.898,0.96775,0.26620274681405887,0.388647870777199,2.414947621382434,3.730699372480915,2.394320470673118,1.0086150333516204
S2,30,4,10,1,30,0.903,0.888,0.96075,0.21007306555636843,0.23536856663720937,1.8834362139663614,2.633033200482044,1.8990247343794318,0.9917913020663397
S3,30,4,10,1,30,0.903,0.843,0.9435,0.2047562422219168,0.2603936597971242,1.8796951804237716,2.6040660400632554,1.9835862581993504,0.9476246231560969
U0,30,8,10,0,30,0.903,0.909,0.981875,0.2224698119505539,0.22246981195055396,0.07950543725291773,0.10862421717359251,0.0794034296336564,1.0012846752304272
S1,30,8,10,0,20,0.905,0.92,0.984375,0.2915718460813233,0.42253089880227307,2.7331507229619736,4.160230427942153,2.7114108792093408,1.0080179082850669
S2,30,8,10,0,30,0.903,0.909,0.981,0.22187631267797991,0.2300096444625433,2.070260306618289,2.8220252894150346,2.0859739530849124,0.9924669977573859
S3,30,8,10,0,30,0.903,0.83,0.964875,0.2146983173774518,0.2658278668046411,2.0603469763253583,2.7708860600340457,2.206004885974354,0.9339720820316039
U0,30,8,10,1,30,0.903,0.914,0.982875,0.2350061555030009,0.23500615550300089,0.0847009063314392,0.11475360768934652,0.08408833252797789,1.0072848846569469
S1,30,8,10,1,20,0.905,0.914,0.984625,0.2983702498606999,0.45914594724753804,2.8020561030244435,4.211066883195269,2.7671902854916004,1.0125997181023816
S2,30,8,10,1,30,0.903,0.92,0.98325,0.22436103979500813,0.250110584115494,2.1016058151167663,2.849373126399531,2.0987009381214587,1.0013841309843352
S3,30,8,10,1,30,0.903,0.844,0.969125,0.21642044295388752,0.2857268779153699,2.09050475132641,2.7787117474198357,2.225848173904876,0.9391946745671208
U0,50,1,10,0,50,0.902,0.901,0.901,0.17061494497888094,0.17061494497888094,0.05208218890837924,0.08377697704279653,0.05215843046609096,0.9985382697096055
S1,50,1,10,0,34,0.914,0.898,0.898,0.18668760136318382,0.21555123962635486,1.504068921967955,2.494811195656668,1.517569254394514,0.9911039760541633
S2,50,1,10,0,50,0.902,0.887,0.887,0.16918146967968206,0.18309972642785907,1.3598356873468327,2.168041616003998,1.3865532087360348,0.9807309800872643
S3,50,1,10,0,50,0.902,0.887,0.887,0.16918146967968206,0.18309972642785907,1.3598356873468327,2.168041616003998,1.3865532087360348,0.9807309800872643
U0,50,1,10,1,50,0.902,0.906,0.906,0.18060923559597533,0.18060923559597533,0.05525889847049989,0.08887552560498103,0.055770131053632876,0.990833218902761
S1,50,1,10,1,34,0.914,0.919,0.919,0.19115181907819423,0.2323275436705069,1.518861460841628,2.5225672947231863,1.5244848671618298,0.996311274423687
S2,50,1,10,1,50,0.902,0.894,0.894,0.1732298376664381,0.19841690831362904,1.3757347028910736,2.1911445620714156,1.4145007236295741,0.9725938487758226
S3,50,1,10,1,50,0.902,0.894,0.894,0.1732298376664381,0.19841690831362904,1.3757347028910736,2.1911445620714156,1.4145007236295741,0.9725938487758226
U0,50,2,10,0,50,0.902,0.904,0.9455,0.19048040222631452,0.1904804022263145,0.062131054148905594,0.09358887693218003,0.06130325071847937,1.013503418182956
S1,50,2,10,0,34,0.914,0.92,0.9545,0.2146017643340627,0.26382445531644555,1.8212799826324075,2.8612761797588293,1.801948777084497,1.0107279439869472
S2,50,2,10,0,50,0.902,0.896,0.941,0.1893201756839043,0.2002150314101663,1.6137216613918066,2.4171294350925363,1.6129818488133367,1.0004586614406195
S3,50,2,10,0,50,0.902,0.881,0.9335,0.18783280077446965,0.21082675925727115,1.6142135747443858,2.4052133792187727,1.6386697855292784,0.9850755710510684
U0,50,2,10,1,50,0.902,0.911,0.949,0.20080352807008425,0.20080352807008428,0.06614284975534768,0.09844154452243283,0.06548273740349382,1.0100807079549279
S1,50,2,10,1,34,0.914,0.916,0.955,0.21889398689019562,0.28540138955180955,1.858603703491806,2.8854627320146893,1.8273311079855803,1.0171138089695742
S2,50,2,10,1,50,0.902,0.896,0.9395,0.19198452573929334,0.21624890323535353,1.6361167825763279,2.421547570666811,1.6472440080292574,0.9932449440406573
S3,50,2,10,1,50,0.902,0.896,0.94,0.19038233069789126,0.22687152012580822,1.636966635071498,2.410774831573824,1.6707940196876636,0.9797537073884851
U0,50,4,10,0,50,0.902,0.907,0.967,0.2060787270294568,0.2060787270294568,0.07145741586440067,0.10144424372944912,0.07158613574681297,0.9982018881020823
S1,50,4,10,0,34,0.914,0.924,0.97475,0.2393511771709902,0.30779377672566216,2.1191770843716893,3.1647027776206014,2.1326362249649464,0.9936889655930522
S2,50,4,10,0,50,0.902,0.9,0.96425,0.20558049031872944,0.2138315126984701,1.8473838927543158,2.6173462249680544,1.8644426197669905,0.9908504950316965
S3,50,4,10,0,50,0.902,0.885,0.9575,0.20271707117258894,0.23397314053788784,1.8445475851082398,2.5958794085562804,1.906321560028668,0.967595196835785
U0,50,4,10,1,50,0.902,0.896,0.96375,0.2182193564777252,0.21821935647772522,0.07605526966812348,0.10761752413226978,0.07619326507316564,0.998188876603337
S1,50,4,10,1,34,0.914,0.906,0.96875,0.2432482380170114,0.3312611423735555,2.147314220539907,3.173709715405884,2.168454947614332,0.9902507879641754
S2,50,4,10,1,50,0.902,0.895,0.9605,0.20899307417462037,0.2324366873228642,1.87253267314761,2.6337493424384713,1.8922434913794066,0.9895833605338878
S3,50,4,10,1,50,0.902,0.866,0.9515,0.20593139650936745,0.253019567664072,1.8695463814412796,2.607289767176018,1.93893620927751,0.964212423542244
U0,50,8,10,0,50,0.902,0.907,0.9785,0.2202215743097184,0.2202215743097184,0.07947487787285173,0.10842957515682221,0.07906638671931279,1.0051664325447056
S1,50,8,10,0,34,0.914,0.915,0.98375,0.2612292840743606,0.3491655582700091,2.3929195989537506,3.4590393027594875,2.388846160796104,1.0017051906583592
S2,50,8,10,0,50,0.902,0.903,0.977625,0.21993335774277084,0.2262966479346484,2.0575195462501155,2.8047949597686084,2.0580055797571033,0.9997638327554752
S3,50,8,10,0,50,0.902,0.874,0.969375,0.2154873228567982,0.2547976575295798,2.050363532646542,2.7733468219135444,2.126668513785386,0.9641199459886562
U0,50,8,10,1,50,0.902,0.906,0.98175,0.233610784404113,0.233610784404113,0.08498908880595107,0.11536525562038,0.08459596566274212,1.0046470672700423
S1,50,8,10,1,34,0.914,0.904,0.983125,0.26786804127446684,0.38394760714989934,2.46410419432316,3.5352496143852172,2.4569717612707596,1.0029029365191855
S2,50,8,10,1,50,0.902,0.904,0.97975,0.22344473746286617,0.24737818085323515,2.0889486627067595,2.825121723266079,2.091772686138555,0.9986499377057032
S3,50,8,10,1,50,0.902,0.857,0.969875,0.2189833683483856,0.2771065597957762,2.0807338243359346,2.7857179113579775,2.1675827633841878,0.959932815246852
U0,100,1,10,0,100,0.901,0.887,0.887,0.17019346239787952,0.1701934623978795,0.05225647551705483,0.08408425160563901,0.053427366265024485,0.9780844381854518
S1,100,1,10,0,67,0.912,0.897,0.897,0.17925959571613442,0.19767895816330555,1.4063494142002408,2.3013355410926235,1.4339363147219073,0.980761418594091
S2,100,1,10,0,100,0.901,0.884,0.884,0.1693665609239189,0.17916150329930933,1.3474485375737404,2.1614428006514217,1.3874062747872018,0.9711996853844487
S3,100,1,10,0,100,0.901,0.884,0.884,0.1693665609239189,0.17916150329930933,1.3474485375737404,2.1614428006514217,1.3874062747872018,0.9711996853844487
U0,100,1,10,1,100,0.901,0.913,0.913,0.17944516863393975,0.17944516863393972,0.05525275252892629,0.08876269491708057,0.05471269773434139,1.0098707396445181
S1,100,1,10,1,67,0.912,0.92,0.92,0.18279445665500466,0.21321705360029403,1.425178134490858,2.319892518021571,1.4196811024758165,1.0038720188677972
S2,100,1,10,1,100,0.901,0.908,0.908,0.17262948917178628,0.1940633155595362,1.3642270321361754,2.178222323473555,1.3634328879314812,1.0005824593287456
S3,100,1,10,1,100,0.901,0.908,0.908,0.17262948917178628,0.1940633155595362,1.3642270321361754,2.178222323473555,1.3634328879314812,1.0005824593287456
U0,100,2,10,0,100,0.901,0.899,0.943,0.18797401863851063,0.18797401863851065,0.06229633009477674,0.09332896545535395,0.06357669087844202,0.9798611603407715
S1,100,2,10,0,67,0.912,0.905,0.948,0.20070718103062515,0.23148362660205235,1.696131048653594,2.597485069311702,1.7285801880785931,0.9812278657080595
S2,100,2,10,0,100,0.901,0.898,0.9415,0.18747857754997993,0.1949845441070688,1.6035387327706851,2.3928539363525236,1.6471700760399683,0.9735113307945836
S3,100,2,10,0,100,0.901,0.891,0.938,0.186839012629191,0.20275461534908554,1.6040575048543833,2.3890683195476967,1.656819392299535,0.9681547139716162
U0,100,2,10,1,100,0.901,0.896,0.937,0.1982283651606833,0.19822836516068326,0.06612107343138993,0.09835504482444324,0.06759353007403343,0.9782160120793993
S1,100,2,10,1,67,0.912,0.896,0.9405,0.2028297855810289,0.24663219703587808,1.7060800194739625,2.58342783624329,1.7494539381416172,0.9752071673783368
S2,100,2,10,1,100,0.901,0.886,0.9315,0.19062470122968367,0.21243121482907348,1.627849458372706,2.4125769226234213,1.6757786214609072,0.9713988694721396
S3,100,2,10,1,100,0.901,0.883,0.93,0.19000255279955183,0.22021552652714416,1.628203155675332,2.406106467024033,1.6876341729201678,0.9647844193970069
U0,100,4,10,0,100,0.901,0.903,0.96325,0.20493930608789707,0.204939306087897,0.0715304022409868,0.10171147279338502,0.07140759045119549,1.001719870240899
S1,100,4,10,0,67,0.912,0.909,0.9675,0.22041056262012063,0.26299963581403374,1.9535952631652518,2.846301378604244,1.9472422623582406,1.0032625631282865
S2,100,4,10,0,100,0.901,0.901,0.96225,0.2046286494634277,0.2105248236777216,1.837533984289419,2.61085618270462,1.8408625845876787,0.9981918257635698
S3,100,4,10,0,100,0.901,0.883,0.95675,0.20333935737986927,0.22527618058638416,1.8362347916558739,2.601068262433946,1.8665930437495322,0.983736009198515
U0,100,4,10,1,100,0.901,0.896,0.96275,0.21575519560344875,0.21575519560344872,0.07609431993695329,0.10723062911917357,0.07622904728580394,0.9982325982857226
S1,100,4,10,1,67,0.912,0.914,0.97025,0.22449178016992946,0.2837550666689964,2.0005066213904454,2.8818728187243026,1.9966990133018547,1.0019069514549888
S2,100,4,10,1,100,0.901,0.889,0.959,0.20733047415483788,0.22927385608876102,1.8675885815404876,2.6229539620999165,1.8757376433705895,0.9956555428426235
S3,100,4,10,1,100,0.901,0.888,0.9565,0.20602465379360102,0.24340643619374835,1.866163710823462,2.6136805701648003,1.8991266698519358,0.9826430961390039
U0,100,8,10,0,100,0.901,0.904,0.979625,0.2192979970958761,0.2192979970958761,0.07959615123283391,0.10895903515631751,0.08018266562468752,0.9926852719688951
S1,100,8,10,0,67,0.912,0.904,0.981625,0.23746780790532976,0.29156072458496723,2.1901569832022,3.072621141388672,2.2050154081110014,0.9932615323892315
S2,100,8,10,0,100,0.901,0.903,0.97975,0.21904095136948973,0.2234378488404814,2.044665729194282,2.7927645046871565,2.0664547649964,0.9894558370349057
S3,100,8,10,0,100,0.901,0.873,0.97475,0.21678641353172998,0.24463235987797363,2.041031718893077,2.776757439142165,2.1050248840593473,0.9695998058498646
U0,100,8,10,1,100,0.901,0.912,0.981875,0.23212509359865693,0.2321250935986569,0.08506482632965494,0.11528914160647676,0.08498824228493732,1.0009011134088508
S1,100,8,10,1,67,0.912,0.916,0.984125,0.24198151286389985,0.31558312495428104,2.228309701793966,3.091180126998348,2.2278193014408725,1.0002201257313716
S2,100,8,10,1,100,0.901,0.906,0.980375,0.22260363606952846,0.24539168496535527,2.08008268081766,2.8149340402337693,2.080555869219382,0.9997725663565575
S3,100,8,10,1,100,0.901,0.892,0.97725,0.22032000689695538,0.266242429001967,2.076181624760553,2.795639638653208,2.1163670152072926,0.9810120880934239
