outcome,pais,country,y0,y1,n0,n_upm,M0,M1,M2,M3,deff_ratio,signal
b13,26,Belice,2012,2014,1512,63,1,1,1,1,1.0805245579663643,0.15032228360957642
b13,26,Belice,2014,2023,1533,63,0,0,0,0,1.0799836182196398,-0.01786506879715934
b13,27,Surinam,2014,2023,4000,163,1,1,1,1,1.0334526060671374,0.31183107627935003
b13,28,Bahamas,2014,2023,3429,285,1,1,1,1,1.2113910960379324,0.1403090134091315
b13,40,Estados Unidos,2006,2008,609,609,1,1,1,1,1.0202631554247,0.19627001050150258
b13,40,Estados Unidos,2008,2010,1500,1500,1,1,1,1,1.0205987177538398,0.1183542695494314
b13,41,CanadÃ¡,2006,2008,601,601,1,1,1,1,0.9675413683930515,0.03880474133389868
b13,41,CanadÃ¡,2008,2010,2032,1997,1,1,1,1,0.9967289441425359,0.09121163010138261
sat,1,MÃ©xico,2004,2006,1556,102,1,0,0,0,1.6174671929358286,0.02120632332855797
sat,1,MÃ©xico,2006,2008,1560,102,0,0,0,0,1.5458016513006534,-0.020033305285350966
sat,1,MÃ©xico,2008,2010,1560,101,1,1,1,1,1.369104034945119,0.08413633654534616
sat,1,MÃ©xico,2010,2012,1562,130,0,0,0,0,1.2176533140220747,-0.04049318944528523
sat,1,MÃ©xico,2012,2014,1560,130,1,1,1,1,1.2214957146008913,0.08287295923721574
sat,1,MÃ©xico,2014,2016,1535,130,1,1,1,1,1.2243325915505079,0.10365306467229685
sat,1,MÃ©xico,2016,2019,1563,130,0,0,0,0,1.0750731907150557,-0.15568687308038176
sat,1,MÃ©xico,2019,2023,1580,129,0,0,0,0,1.1103790991272877,-0.09657230342669018
sat,2,Guatemala,2004,2006,1708,126,1,1,1,1,1.4544590395385015,0.11829926101167837
sat,2,Guatemala,2006,2008,1498,109,0,0,0,0,1.54938711645727,-0.1111584869157927
sat,2,Guatemala,2008,2010,1538,100,1,1,1,1,1.4127594252992226,0.06784431005724109
sat,2,Guatemala,2010,2012,1494,108,0,0,0,0,1.0416324943833761,-0.007022262064843857
sat,2,Guatemala,2012,2014,1509,72,0,0,0,0,1.020613069480605,-0.04118222921965202
sat,2,Guatemala,2014,2017,1506,62,1,1,1,1,1.2630570040960776,0.10132168591546337
sat,2,Guatemala,2017,2019,1546,63,1,0,0,0,1.2165052714070526,0.011667810569663664
sat,2,Guatemala,2019,2023,1596,62,1,0,0,0,1.2302515266539664,0.01736315425324074
sat,3,El Salvador,2004,2006,1589,65,1,1,1,1,1.2775272118533199,0.09849599552989383
sat,3,El Salvador,2006,2008,1729,66,1,1,0,0,1.2776526568425823,0.02799265951439863
sat,3,El Salvador,2008,2010,1549,66,0,0,0,0,1.1379239372352545,-0.14232729747917358
sat,3,El Salvador,2010,2012,1550,66,1,0,0,0,1.1073114700004607,0.04827605625871125
sat,3,El Salvador,2012,2014,1497,52,0,0,0,0,1.1066383633575414,-0.026131894484412464
sat,3,El Salvador,2014,2016,1512,63,1,1,1,1,0.9667640120171542,0.12688903451288772
sat,3,El Salvador,2016,2018,1551,63,1,0,0,0,1.0467429969478705,0.030437496099357177
sat,3,El Salvador,2018,2023,1511,63,0,0,0,0,1.1056547693297016,-0.25490780701873816
sat,4,Honduras,2004,2006,1500,111,1,0,0,0,1.3896773861737173,0.04887087083560842
sat,4,Honduras,2006,2008,1585,118,1,0,0,0,1.3384407192909094,0.08514276566638529
sat,4,Honduras,2008,2010,1522,93,0,0,0,0,1.1462315624953137,-0.15910420933829367
sat,4,Honduras,2010,2012,1596,93,1,1,1,1,1.084213699280971,0.09529024263218838
sat,4,Honduras,2012,2014,1728,68,1,0,0,0,1.0322414231319985,0.033101965593603566
sat,4,Honduras,2014,2016,1561,65,1,1,1,1,0.9692279997845737,0.052514745735692654
sat,4,Honduras,2016,2018,1560,65,1,0,0,0,0.9868195818570742,0.02830008984228715
sat,4,Honduras,2018,2023,1560,65,0,0,0,0,1.1376738032789193,0.0002909667074261768
sat,5,Nicaragua,2004,2006,1430,47,1,0,0,0,1.345605327146118,0.06089914689488185
sat,5,Nicaragua,2006,2008,1759,78,1,0,0,0,1.2605210880646354,0.007208280039400737
sat,5,Nicaragua,2008,2010,1539,43,0,0,0,0,1.2916848753044023,-0.032742019022506806
sat,5,Nicaragua,2010,2012,1540,43,0,0,0,0,1.2989654335462677,-0.09366310532324616
sat,5,Nicaragua,2012,2014,1686,50,1,0,0,0,1.1967182920750423,0.014697527220025708
sat,5,Nicaragua,2014,2016,1546,62,0,0,0,0,1.0821172310324718,-0.0011110225616155316
sat,5,Nicaragua,2016,2019,1560,62,1,1,1,1,1.0262774777730614,0.11556059757813267
sat,6,Costa Rica,2004,2006,1500,30,1,1,1,1,1.0756032779706262,0.09864332744943259
sat,6,Costa Rica,2006,2008,1497,30,0,0,0,0,1.1957849285192779,-0.11288184937928965
sat,6,Costa Rica,2008,2010,1499,30,1,0,0,0,1.2894933897549112,0.040178571428571425
sat,6,Costa Rica,2010,2012,1500,30,0,0,0,0,1.2366348017719315,0.004559989191136739
