iso,country,item,K_item,p_persistent,p_le_alpha10,certifies_alpha10,n_waves,first_wave,last_wave
504,504,confid_parl,77,1.0,False,False,4,4,7
51,51,confid_parl,77,1.0,False,False,3,3,7
528,528,confid_parl,77,1.0,False,False,3,5,7
554,554,confid_parl,77,1.0,False,False,4,3,7
566,566,confid_parl,77,1.0,False,False,5,2,7
586,586,confid_parl,77,1.0,False,False,3,4,7
604,604,confid_parl,77,1.0,False,False,5,3,7
630,630,confid_parl,77,1.0,False,False,3,3,7
643,643,confid_parl,77,1.0,False,False,5,2,7
704,704,confid_parl,77,1.0,False,False,3,4,7
716,716,confid_parl,77,1.0,False,False,3,4,7
724,724,confid_parl,77,1.0,False,False,5,2,6
76,76,confid_parl,77,1.0,False,False,5,2,7
764,764,confid_parl,77,1.0,False,False,3,5,7
804,804,confid_parl,77,1.0,False,False,4,3,7
840,840,confid_parl,77,1.0,False,False,5,3,7
858,858,confid_parl,77,1.0,False,False,4,3,7
862,862,confid_parl,77,1.0,False,False,3,3,7
112,Belarus,confid_parl,77,1.0,False,False,3,2,6
124,Canada,confid_parl,77,1.0,False,False,3,4,7
203,Czechia,confid_parl,77,1.0,False,False,3,2,7
231,Ethiopia,confid_parl,77,1.0,False,False,2,5,7
246,Finland,confid_parl,77,1.0,False,False,3,1,5
268,Georgia,confid_parl,77,1.0,False,False,3,3,6
320,Guatemala,confid_parl,77,1.0,False,False,2,5,7
398,Kazakhstan,confid_parl,77,1.0,False,False,2,6,7
422,Lebanon,confid_parl,77,1.0,False,False,2,6,7
484,Mexico,confid_parl,77,1.0,False,False,7,1,7
608,Philippines,confid_parl,77,1.0,False,False,4,3,7
616,Poland,confid_parl,77,1.0,False,False,4,2,6
710,South Africa,confid_parl,77,1.0,False,False,6,1,6
752,Sweden,confid_parl,77,1.0,False,False,3,3,6
756,Switzerland,confid_parl,77,1.0,False,False,2,3,5
780,Trinidad and Tobago,confid_parl,77,1.0,False,False,2,5,6
788,Tunisia,confid_parl,77,1.0,False,False,2,6,7
792,Turkey,confid_parl,77,1.0,False,False,6,2,7
124,Canada,imp_dem,59,0.0004997501249375312,True,True,2,5,7
288,Ghana,imp_dem,59,0.0004997501249375312,True,True,2,5,6
368,Iraq,imp_dem,59,0.0004997501249375312,True,True,2,6,7
398,Kazakhstan,imp_dem,59,0.0004997501249375312,True,True,2,6,7
646,Rwanda,imp_dem,59,0.0004997501249375312,True,True,2,5,6
710,South Africa,imp_dem,59,0.0004997501249375312,True,True,2,5,6
752,Sweden,imp_dem,59,0.0004997501249375312,True,True,2,5,6
788,Tunisia,imp_dem,59,0.0004997501249375312,True,True,2,6,7
608,Philippines,imp_dem,59,0.0014992503748125937,True,True,2,6,7
792,Turkey,imp_dem,59,0.001999000499750125,True,True,3,5,7
268,Georgia,imp_dem,59,0.0024987506246876563,True,True,2,5,6
