iso,n_items,n_persist,n_anypair_plugin,iso3,country,in_core,y_first,y_last,d_supdem,claassen_declining
398,5,1,1,KAZ,Kazakhstan,False,2006.0,2017.0,0.373252669,False
400,5,0,5,JOR,,False,2006.0,2017.0,0.27074798800000005,False
410,5,0,4,KOR,,False,2006.0,2017.0,0.42735147100000004,False
417,5,0,3,KGZ,,False,2006.0,2017.0,-0.03376720199999994,True
422,5,2,2,LBN,Lebanon,True,2006.0,2017.0,0.29080736700000004,False
434,5,1,1,LBY,Libya,False,2013.0,2017.0,-0.042659891000000005,True
458,5,0,5,MYS,,False,2006.0,2017.0,0.32289176899999994,False
484,5,1,4,MEX,Mexico,False,2006.0,2017.0,-0.5755160239999999,True
498,4,0,2,MDA,,False,2006.0,2017.0,-0.27561585200000005,True
504,5,0,5,MAR,,False,2006.0,2017.0,-0.234540961,True
528,5,0,4,NLD,,False,2006.0,2017.0,0.326216497,False
554,5,0,3,NZL,,False,2006.0,2017.0,0.034255227,False
566,5,0,4,NGA,,False,2006.0,2017.0,-0.160224731,True
578,4,1,1,NOR,Norway,False,2006.0,2017.0,0.10154653700000038,False
586,5,0,4,PAK,,False,2006.0,2017.0,0.25179110299999996,False
604,5,0,3,PER,,False,2006.0,2017.0,-0.12569528500000005,True
608,5,1,5,PHL,Philippines,False,2006.0,2017.0,0.14417535799999992,False
616,5,1,3,POL,Poland,False,2006.0,2017.0,0.822389534,False
642,5,0,4,ROU,,False,2006.0,2017.0,-0.096884407,True
643,5,0,5,RUS,,False,2006.0,2017.0,0.39272844100000004,False
646,2,2,2,RWA,Rwanda,True,2007.0,2017.0,-0.538550774,True
688,5,0,3,SRB,,False,2006.0,2017.0,-0.180105485,True
702,5,0,4,SGP,,False,2006.0,2017.0,-1.147452242,True
703,4,1,2,SVK,Slovakia,False,2006.0,2017.0,-0.471336135,True
704,5,0,4,VNM,,False,2006.0,2017.0,-1.032413369,True
705,5,0,4,SVN,,False,2006.0,2017.0,-0.33378907799999996,True
710,5,1,4,ZAF,South Africa,False,2006.0,2017.0,-0.41781903099999995,True
716,5,0,3,ZWE,,False,2006.0,2017.0,-0.525142372,True
724,5,0,2,ESP,,False,2006.0,2017.0,0.029757753999999914,False
752,5,1,3,SWE,Sweden,False,2006.0,2017.0,0.13360243699999996,False
756,4,2,2,CHE,Switzerland,True,2006.0,2017.0,0.07537187000000012,False
764,5,0,4,THA,,False,2006.0,2017.0,-0.874395881,True
780,5,2,3,TTO,Trinidad and Tobago,True,2006.0,2017.0,0.060467584000000005,False
788,5,3,3,TUN,Tunisia,True,2011.0,2017.0,-0.14384677,True
792,5,1,5,TUR,Turkey,False,2006.0,2017.0,0.006211743000000047,False
804,5,0,5,UKR,,False,2006.0,2017.0,0.800888635,False
807,4,1,1,MKD,North Macedonia,False,2006.0,2017.0,0.04038777900000001,False
818,4,1,3,EGY,Egypt,False,2006.0,2017.0,-0.7332393529999999,True
826,5,1,1,GBR,United Kingdom,False,2006.0,2017.0,0.281572409,False
840,5,0,3,USA,,False,2006.0,2017.0,-0.03948996299999996,True
858,5,0,2,URY,,False,2006.0,2017.0,-0.277029172,True
860,5,2,3,UZB,Uzbekistan,True,2006.0,2017.0,-0.03486786200000003,True
862,4,0,3,VEN,,False,2006.0,2017.0,-0.059085288999999985,True
