subgroup,outcome,min_n,K,rho_hat,rho_lcb,D,delta_ucb,branch,gate_A,coverage_level,v_mean,s_mean
older_50_64,trstprl,80,33,0.14409887260498658,0.1064223005433029,0.2556636054878696,0.030209077997506103,PCB,False,0.9,0.02596721449285197,0.18020414749555347
older_50_64,stfdem,80,33,0.15120677413590836,0.10621227800420187,0.2560413183797194,0.03024469632320754,PCB,False,0.9,0.024857283968441248,0.16439266104638217
older_50_64,trstprl,120,33,0.14588211536327808,0.10690498820721844,0.2556482572864665,0.03020763066211379,PCB,False,0.9,0.026288562233887508,0.18020414749555347
older_50_64,stfdem,120,33,0.15038789258973417,0.1065296212553596,0.25615981743010174,0.030255870783658594,PCB,False,0.9,0.024722665851983898,0.16439266104638217
older_50_64,trstprl,200,32,0.13667963758928667,0.10181318012117428,0.2591583577745813,0.030538633138143017,PCB,False,0.9,0.02490897371834522,0.18224348672327512
older_50_64,stfdem,200,32,0.1443797494900486,0.10133548726124533,0.2596571670601474,0.0305856708537719,PCB,False,0.9,0.023937023682627553,0.16579211258624202
oldest_65p,trstprl,80,33,0.1478313532058668,0.10864188791038006,0.2555684440517089,0.030200104274076153,PCB,False,0.9,0.025579309630821445,0.17303034218458546
oldest_65p,stfdem,80,33,0.15484498016181583,0.10570869670645348,0.2559258799293067,0.030233810477333624,PCB,False,0.9,0.024564691211505566,0.15864053962766514
oldest_65p,trstprl,120,33,0.1478542017084541,0.109034885572782,0.25540218578564045,0.030184426119585894,PCB,False,0.9,0.02558326311504253,0.17303034218458546
oldest_65p,stfdem,120,33,0.155824630591472,0.10492999482919038,0.25600434291921703,0.030241209537282165,PCB,False,0.9,0.024720103484312698,0.15864053962766514
oldest_65p,trstprl,200,32,0.14035442467241763,0.10519747260875392,0.25917499052645504,0.03054020160664471,PCB,False,0.9,0.024565426331245362,0.1750242387340493
oldest_65p,stfdem,200,32,0.14519145867275526,0.09881302101594687,0.2593395363360778,0.030555718276492137,PCB,False,0.9,0.02329992733960894,0.1604772591487236
full_18plus,trstprl,80,33,0.08019171371349577,0.059160005320659965,0.25179580683930686,0.029844344584946638,PCB,False,0.9,0.01461917906585596,0.182302863835614
full_18plus,stfdem,80,33,0.08715674210836019,0.06142291791046031,0.252220278607314,0.02988437227266971,PCB,False,0.9,0.013839373299115892,0.1587871800199884
full_18plus,trstprl,120,33,0.07948143029031939,0.05883063878054581,0.2517167008531461,0.02983688489045168,PCB,False,0.9,0.014489692363675942,0.182302863835614
full_18plus,stfdem,120,33,0.08674512019448317,0.06103845558268846,0.2522041691726511,0.029882853152980997,PCB,False,0.9,0.013774013016176931,0.1587871800199884
full_18plus,trstprl,200,33,0.07938960270483074,0.059132196091999815,0.25177363568730454,0.02984225384531282,PCB,False,0.9,0.014472951931862252,0.182302863835614
full_18plus,stfdem,200,33,0.08636965562064819,0.06091545057967178,0.2521800026385382,0.02988057424881415,PCB,False,0.9,0.013714394055300267,0.1587871800199884
