rho_true,rho_hat,branch,cov_T3,cov_T3_safe,cov_adaptive_safe,w_T3,w_T3_safe,w_T1
0.1,0.10921037408503693,T1,1,1,1,0.19343983257005176,0.19347023420893514,0.19430475061605523
0.1,0.09694257713800083,T1,1,1,1,0.2263853647581163,0.22634307350680227,0.2272977550592696
0.1,0.10577313690260294,T1,1,1,1,0.2230953135745981,0.2230865216276094,0.22431046189829992
0.1,0.0902484453481568,T1,1,1,1,0.24124470152250554,0.241253750287519,0.24187219618001382
0.1,0.09585364366906758,T1,1,1,1,0.2364751739714217,0.23644805367866775,0.23775567769539882
0.1,0.09438643419708033,T1,1,1,1,0.22309438802030315,0.2231055431760687,0.22418245130958767
0.1,0.11318295932244862,T1,1,1,1,0.21373298966512275,0.21373791024054087,0.21489311775978567
0.1,0.10975380349264076,T1,1,1,1,0.19525667825695078,0.19523383387648924,0.19673893062019884
0.1,0.11137183945826841,T1,1,1,1,0.19905725031108185,0.19907324371181023,0.20122593162364766
0.1,0.10268349485701524,T1,0,0,0,0.2049700553485856,0.2049464438226109,0.20573389912584206
0.1,0.09828817827329746,T1,1,1,1,0.2512478017041534,0.25123386363859435,0.2519528764558246
0.1,0.10476263029756933,T1,1,1,1,0.24313353932100518,0.24314150195912484,0.24434004641313686
0.1,0.10385052346262437,T1,1,1,1,0.22725276129236047,0.22727374991695187,0.2280315038909032
0.1,0.1018048960686797,T1,1,1,1,0.21016006791676575,0.21015713182198925,0.21133715527624272
0.1,0.110999726106919,T1,0,0,0,0.21045788996907241,0.21047667844073767,0.21218220251879308
0.1,0.09916534152496076,T1,1,1,1,0.2350720219477067,0.23510090377012904,0.2362065774481583
0.1,0.11135632692837681,T1,1,1,1,0.1858326292523059,0.18580610763278677,0.18679135457978718
0.1,0.1058833160087018,T1,1,1,1,0.21882710554441495,0.21884911340957824,0.21992903175971457
0.1,0.10097639559836237,T1,0,0,0,0.19624694124578546,0.19625934488569519,0.19714729874545492
0.1,0.10136218213658496,T1,1,1,1,0.246507161572055,0.24654361977489186,0.24818023912173984
0.1,0.11692798953381352,T1,1,1,1,0.1936483972364561,0.19364607638130746,0.19470538611115665
0.1,0.108041955332375,T1,1,1,1,0.20681491959371393,0.20681662074071694,0.20820121969089284
0.1,0.11273552907669743,T1,1,1,1,0.19330263618120713,0.19321329180189384,0.1950431188918094
0.1,0.0945553524421739,T1,1,1,1,0.2354738942004067,0.2354888304090861,0.23669018255367624
0.1,0.09663239597106899,T1,1,1,1,0.2932515729525399,0.2932185266492266,0.29520420666703623
0.1,0.09617585855277622,T1,1,1,1,0.2530847516503897,0.25310041336384087,0.25428500215155175
0.1,0.09816374646055885,T1,1,1,1,0.21890536380988881,0.2189011998473517,0.21980739674061608
0.1,0.10170051091179738,T1,1,1,1,0.19520200181180605,0.19518450928787198,0.19575619731030328
0.1,0.10142309440131611,T1,1,1,1,0.22853259267745263,0.22847210628058437,0.22924693145771752
0.1,0.12114438815895512,T1,0,0,0,0.17068773804952198,0.17070384138173728,0.17170581951586664
0.1,0.09313807877954994,T1,1,1,1,0.22521650692547324,0.22524400840526862,0.2260194377870398
0.1,0.10639366654626592,T1,1,1,1,0.21028239199927118,0.2102829998959435,0.2118654217939176
0.1,0.10250349893788373,T1,1,1,1,0.21042230560164193,0.21042137982584283,0.21184451566577323
0.1,0.09611954533543375,T1,1,1,1,0.23200618801350567,0.2319683616176053,0.2329703008097118
0.1,0.10584732212427993,T1,1,1,1,0.22887353531264637,0.22889481696161215,0.22989020778593305
0.1,0.09833078415853042,T1,1,1,1,0.19790326813393802,0.19790987562783569,0.19909339993992106
0.1,0.11083526238343855,T1,1,1,1,0.1947008562480986,0.1947147161208094,0.19595669667284168
0.1,0.11518050876793445,T1,0,0,0,0.19301330037781445,0.19301315560094626,0.19449854198588237
0.1,0.0967981103971202,T1,1,1,1,0.23731643937076574,0.23733003350626036,0.23802149991041324
0.1,0.10306679909406383,T1,1,1,1,0.19713460156751794,0.19715873357063418,0.19793480998868992
0.1,0.11231943765088422,T1,1,1,1,0.20923478893905517,0.20917670816098372,0.21049435609669007
0.1,0.1005784729555191,T1,1,1,1,0.23527987578092013,0.23521524416340053,0.2364927025888007
0.1,0.08625139743185221,T1,1,1,1,0.25887012440113866,0.2588915896639573,0.2598283329603397
0.1,0.11535712340828697,T1,1,1,1,0.22160902546977945,0.22160532482584952,0.22236010769749534
0.1,0.10311532816571421,T1,0,0,0,0.22409430042830075,0.22401503156747127,0.22420533241190876
0.1,0.08879445033173634,T1,1,1,1,0.2287926618152949,0.22880809688118342,0.22959360570131532
0.1,0.10429293878928825,T1,1,1,1,0.21403067483982996,0.21405279700047797,0.21522806353770133
0.1,0.10321544092451149,T1,1,1,1,0.22663646655774633,0.22663019403408272,0.22763976423811874
0.1,0.10819380905100852,T1,0,0,0,0.20156409190756006,0.20154116183946694,0.20314749661593237
0.1,0.10913619018415402,T1,1,1,1,0.21271748078812147,0.21272992015103986,0.21410136854222095
0.1,0.08988042230164442,T1,1,1,1,0.24376802245861037,0.24376625436230132,0.24452616844248215
0.1,0.12502519834898712,T1,0,0,0,0.16912258346528639,0.16914682187425906,0.1705484589863283
0.1,0.09820440180504031,T1,1,1,1,0.21328250519546338,0.2133061881849505,0.21402866365221496
0.1,0.09384126872755788,T1,1,1,1,0.2732899010456362,0.2732539332847545,0.274117886589691
0.1,0.10424132340644712,T1,0,0,0,0.22534180897837752,0.22537607886913003,0.22682428146863656
0.1,0.11144891553236043,T1,1,1,1,0.21591346672130904,0.21592856488980622,0.21726286064241726
0.1,0.09264256097299929,T1,1,1,1,0.2549644108955725,0.254966623017895,0.2554403697539547
0.1,0.11621917418022337,T1,1,1,1,0.1888375398709408,0.18885062331130573,0.190230770435225
0.1,0.09571967569702422,T1,1,1,1,0.23284287851917707,0.23286409410060022,0.23357649905251465
0.1,0.11091488041548064,T1,0,0,0,0.1801463715285372,0.18011546056471758,0.18138486697400116
0.1,0.09783224182437546,T1,1,1,1,0.22495108087337698,0.22493834562347803,0.2265553646881888
0.1,0.12075682004080468,T1,0,0,0,0.21087039220764336,0.21088473443980837,0.21246873152474327
0.1,0.10421966268970982,T1,1,1,1,0.2134872087688854,0.21350222727171633,0.2143837190795933
0.1,0.10567800915716856,T1,1,1,1,0.24883520662669398,0.24882504801871116,0.250135982721806
0.1,0.09460113947050469,T1,1,1,1,0.22136381674678726,0.22139494474535196,0.22240893455255847
0.1,0.10075097737551861,T1,1,1,1,0.21365431511330374,0.21369273815021717,0.21476728331494888
0.1,0.10601320786245684,T1,1,1,1,0.20077353134156767,0.20077922743911936,0.20164876907652413
0.1,0.10671564355405648,T1,0,0,1,0.22769614986511444,0.22768236619087462,0.22986372418109985
0.1,0.09723701871006672,T1,1,1,1,0.209689884443198,0.20966675342283048,0.21060140244796866
0.1,0.10151110094705794,T1,1,1,1,0.23635461804710475,0.23636320842203903,0.23792714193992828
0.1,0.10067398752706078,T1,0,0,0,0.21047422993496548,0.21042286893894327,0.2107647447545553
0.1,0.10601334025810985,T1,1,1,1,0.19824458589283142,0.19823261250501362,0.19921104580082827
0.1,0.10717038937203603,T1,1,1,1,0.2042612850694419,0.20427585431000436,0.20547081235345627
0.1,0.09967413703682262,T1,1,1,1,0.21531106968678906,0.2153179436097182,0.2168962515535436
0.1,0.09889024213151969,T1,0,0,0,0.2652914760889137,0.26530968247495723,0.2671679348555979
0.1,0.09807327678212752,T1,1,1,1,0.22178604455667025,0.22178409114242245,0.22312534674267756
0.1,0.10089312860223701,T1,1,1,1,0.21443433828452113,0.21445897199183375,0.21538794487602606
0.1,0.10627394969765708,T1,1,1,1,0.22201504477806525,0.22201027170064833,0.2231866305137353
0.1,0.100906576846563,T1,1,1,1,0.19260775163341276,0.19258577411737826,0.19425642446706828
0.1,0.10734643489567108,T1,1,1,1,0.2008402065474044,0.20084492090676728,0.20195067925204022
0.1,0.10118672641137669,T1,1,1,1,0.21091612483162853,0.2109112196659539,0.21202835487803573
0.1,0.09973948869327866,T1,1,1,1,0.22949189451213384,0.2295268243208622,0.23105832512405802
0.1,0.0953342549058289,T1,1,1,1,0.23450228847406343,0.2345344704707464,0.23547855824409958
0.1,0.10295409967059126,T1,1,1,1,0.22494279974168127,0.22491689388193212,0.22550189972114484
0.1,0.10944649837330753,T1,0,0,0,0.19639454376490226,0.19641438153649343,0.19746096971477872
0.1,0.09339126791820881,T1,0,0,0,0.22482524808133564,0.22485505933195118,0.2257450137933601
0.1,0.10552288819754142,T1,1,1,1,0.2377481537372337,0.23771679485493274,0.23897848771733884
0.1,0.10770623025243058,T1,0,0,0,0.19466948807739334,0.19469119841749835,0.19562627906569452
0.1,0.10531542343380458,T1,0,0,0,0.22267294109493738,0.22268182540434883,0.2237769392422718
