age_group,outcome,cntry,n_pairs,pair_plugin,pair_da,any_plugin,any_da,net_plugin,net_da,persist_plugin,persist_da,persist_da_bonf
older_50plus,trstprl,GB,2,1,1,True,True,True,True,False,False,False
older_50plus,trstprl,GR,1,1,1,True,True,True,True,True,True,True
older_50plus,trstprl,HR,2,1,1,True,True,False,False,False,False,False
older_50plus,trstprl,HU,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,IE,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,IL,1,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,IS,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,IT,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,LT,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,LV,2,1,1,True,True,True,True,False,False,False
older_50plus,trstprl,ME,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,NL,2,2,1,True,True,True,True,True,False,False
older_50plus,trstprl,NO,2,1,0,True,False,True,False,False,False,False
older_50plus,trstprl,PL,2,1,1,True,True,False,False,False,False,False
older_50plus,trstprl,PT,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,RS,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,SE,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,SI,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,SK,2,1,0,True,False,False,False,False,False,False
older_50plus,stfdem,AT,2,1,1,True,True,True,True,False,False,False
older_50plus,stfdem,BE,2,1,1,True,True,True,True,False,False,False
older_50plus,stfdem,BG,2,0,0,False,False,False,False,False,False,False
older_50plus,stfdem,CH,2,1,0,True,False,True,False,False,False,False
older_50plus,stfdem,CY,2,1,0,True,False,False,False,False,False,False
older_50plus,stfdem,CZ,1,0,0,False,False,False,False,False,False,False
older_50plus,stfdem,DE,2,1,1,True,True,True,True,False,False,False
older_50plus,stfdem,EE,2,1,1,True,True,True,True,False,False,False
older_50plus,stfdem,ES,2,1,0,True,False,True,False,False,False,False
older_50plus,stfdem,FI,2,1,1,True,True,False,False,False,False,False
older_50plus,stfdem,FR,2,1,1,True,True,False,False,False,False,False
older_50plus,stfdem,GB,2,1,1,True,True,True,True,False,False,False
older_50plus,stfdem,GR,1,1,1,True,True,True,True,True,True,False
older_50plus,stfdem,HR,2,0,0,False,False,False,False,False,False,False
older_50plus,stfdem,HU,2,1,1,True,True,False,False,False,False,False
older_50plus,stfdem,IE,2,1,0,True,False,False,False,False,False,False
older_50plus,stfdem,IL,1,1,0,True,False,True,False,True,False,False
older_50plus,stfdem,IS,2,1,1,True,True,False,False,False,False,False
older_50plus,stfdem,IT,2,1,0,True,False,False,False,False,False,False
older_50plus,stfdem,LT,2,0,0,False,False,True,False,False,False,False
older_50plus,stfdem,LV,2,1,1,True,True,False,False,False,False,False
older_50plus,stfdem,ME,2,0,0,False,False,False,False,False,False,False
older_50plus,stfdem,NL,2,2,1,True,True,True,True,True,False,False
older_50plus,stfdem,NO,2,1,0,True,False,True,True,False,False,False
older_50plus,stfdem,PL,2,1,1,True,True,True,False,False,False,False
older_50plus,stfdem,PT,2,1,1,True,True,True,True,False,False,False
older_50plus,stfdem,RS,2,0,0,False,False,False,False,False,False,False
older_50plus,stfdem,SE,2,1,0,True,False,False,False,False,False,False
older_50plus,stfdem,SI,2,0,0,False,False,False,False,False,False,False
older_50plus,stfdem,SK,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,AT,2,1,1,True,True,True,False,False,False,False
mid_30_49,trstprl,BE,2,2,0,True,False,True,False,True,False,False
mid_30_49,trstprl,BG,2,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,CH,2,1,0,True,False,True,False,False,False,False
mid_30_49,trstprl,CY,1,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,CZ,1,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,DE,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,EE,2,1,1,True,True,False,False,False,False,False
mid_30_49,trstprl,ES,2,1,1,True,True,False,False,False,False,False
