cell,seed,target_n,survey_sd,transport_sd,oracle_cov_true,oracle_cov_tilde,oracle_width,plugin_cov_true,plugin_cov_tilde,plugin_width,da_wc_cov_true,da_wc_cov_tilde,da_wc_width,da_stud_cov_true,da_stud_width,da_stud_cov_tilde,da_stud_width_val
E_small_shift_noisy,40277,600,0.030340916851304592,0.00998699008625589,1.0,0.0,0.04627052410560896,1.0,1.0,0.20662165805206997,1.0,1.0,0.3854285335519367,1.0,0.14176284083669513,1.0,0.20874223596244476
E_small_shift_noisy,40278,600,0.033848081299728425,0.012029473946509044,1.0,0.0,0.04938278441078896,1.0,1.0,0.2160605272278482,1.0,1.0,0.4123273824543034,0.0,0.09530028395777852,1.0,0.17012514196618794
E_small_shift_noisy,40279,600,0.03333029794810022,0.012351856497460536,1.0,0.0,0.045990325195871415,1.0,1.0,0.19169222786445328,1.0,1.0,0.36008842331061536,1.0,0.10395485449772898,1.0,0.31762612274369195
E_small_shift_noisy,40280,600,0.03315409915103317,0.015547273070940162,1.0,0.0,0.06539181765523946,1.0,1.0,0.20167373923283663,1.0,1.0,0.39502122618723795,1.0,0.11189169879134113,1.0,0.21190871828554864
E_small_shift_noisy,40281,600,0.03456035452644971,0.01113701392971957,1.0,0.0,0.04457527365860348,1.0,1.0,0.1919253519604461,1.0,1.0,0.39009022334629867,1.0,0.11336687182950322,1.0,0.192797862667836
E_small_shift_noisy,40282,600,0.03493621561333019,0.014509019498719541,1.0,0.0,0.06284917894233051,1.0,0.0,0.21377200387443987,1.0,1.0,0.4493749029095949,1.0,0.11664116068115296,0.0,0.2701106369027598
E_small_shift_noisy,40283,600,0.03365834974758587,0.015066267786493101,1.0,0.0,0.06753873607788316,1.0,1.0,0.23835338598997852,1.0,1.0,0.41397063012859114,1.0,0.1539460305631662,1.0,0.20531668527776498
E_small_shift_noisy,40284,600,0.03384896208572212,0.012574116480962377,1.0,0.0,0.05575298984604381,1.0,1.0,0.20899033635232164,1.0,1.0,0.38613519866525864,1.0,0.14955606369209165,1.0,0.31331294910872837
E_small_shift_noisy,40285,600,0.030677717412638444,0.012382799445984407,1.0,0.0,0.050076119403541765,1.0,0.0,0.16616260549679976,1.0,1.0,0.32925931037826306,1.0,0.09382343908909256,0.0,0.1335228209676795
E_small_shift_noisy,40286,600,0.03366400186687839,0.01277637782335378,1.0,0.0,0.053978448886840544,1.0,1.0,0.24018489178689045,1.0,1.0,0.36540605244185675,1.0,0.13873786980056196,1.0,0.1974545457466446
E_small_shift_noisy,40287,600,0.03471037769218971,0.014338736904855714,1.0,0.0,0.06623126151486407,1.0,1.0,0.2572467612619317,1.0,1.0,0.4698507694758355,1.0,0.18040349224247448,1.0,0.3455585049563577
E_small_shift_noisy,40288,600,0.03286235133444279,0.014291455993295999,1.0,0.0,0.0690533630678322,1.0,1.0,0.205000652461923,1.0,1.0,0.34585433749910566,1.0,0.15975632084587596,0.0,0.28572682690152656
E_small_shift_noisy,40289,600,0.03326777533089007,0.01607596724136367,1.0,0.0,0.06656015415117347,1.0,1.0,0.21301715724848358,1.0,1.0,0.39308437455814665,1.0,0.14236350743154014,1.0,0.3515976087030552
E_small_shift_noisy,40290,600,0.03360163691081093,0.012120907195695124,1.0,1.0,0.05154303140523796,1.0,1.0,0.19714694924789727,1.0,1.0,0.3812339604000824,1.0,0.14728168210494177,1.0,0.27108470894491343
E_small_shift_noisy,40291,600,0.03398618523921009,0.01372613401728168,1.0,0.0,0.057896169103884884,1.0,1.0,0.18876246985096984,1.0,1.0,0.38580767258771115,1.0,0.11264627641272389,1.0,0.16866545800694213
