subgroup,outcome,min_n,K,rho_hat,rho_lcb,D,delta_ucb,branch,gate_A,coverage_level,v_mean,s_mean
older_50_64,stfdem,80,33,0.14499962405061115,0.1022088875600945,0.25584222752107133,0.030225922055237026,PCB,False,0.9,0.023320138358191182,0.16082895739130637
older_50_64,trstprl,120,33,0.1406813771322484,0.10287241051270876,0.2553058611260929,0.030175342704190557,PCB,False,0.9,0.024754657893633535,0.17596257868845544
older_50_64,stfdem,120,33,0.14490815060004839,0.10193045995023149,0.2556788303902599,0.03021051370580151,PCB,False,0.9,0.02330542677850819,0.16082895739130637
older_50_64,trstprl,200,32,0.13215646919171015,0.09841852795527374,0.2587318137363793,0.03049841003534057,PCB,False,0.9,0.023490354578576747,0.1777465357711769
older_50_64,stfdem,200,32,0.13853605117603796,0.0970082184720882,0.2589889944149448,0.03052266217332929,PCB,False,0.9,0.02244617701602292,0.16202408561148124
oldest_65p,trstprl,80,33,0.14293079949297705,0.10483133047643993,0.25514750655344687,0.03016040986799004,PCB,False,0.9,0.024172953847681266,0.16912347746903222
oldest_65p,stfdem,80,33,0.1483740326847464,0.10061760545324967,0.25524393629009934,0.030169503192156367,PCB,False,0.9,0.02302230538264864,0.1551639796133643
oldest_65p,trstprl,120,33,0.14387054471609118,0.10582337127509554,0.25529659117394554,0.030174468547703063,PCB,False,0.9,0.02433188682774924,0.16912347746903222
oldest_65p,stfdem,120,33,0.15008263974511887,0.10107425955679372,0.2554609116583889,0.030189963969386075,PCB,False,0.9,0.023287419653731524,0.1551639796133643
oldest_65p,trstprl,200,32,0.13532696639908792,0.10096879628057834,0.25879250177799634,0.030504132917665055,PCB,False,0.9,0.023132050301898573,0.17093452190216596
oldest_65p,stfdem,200,32,0.14097289876570063,0.09377266528934697,0.25866339037204283,0.03049195771208364,PCB,False,0.9,0.022109792013061916,0.15683718081025466
full_18plus,trstprl,80,33,0.07741879546559019,0.05712417460531549,0.2516444255523364,0.02983006932958532,PCB,False,0.9,0.01378145077848058,0.17801169206521597
full_18plus,stfdem,80,33,0.08504948068988424,0.059603592667453666,0.2521118641343131,0.029874148787865724,PCB,False,0.9,0.013206117423742052,0.15527569735429064
full_18plus,trstprl,120,33,0.07824907169732609,0.05775786715998637,0.25166651851340227,0.029832152695813834,PCB,False,0.9,0.013929249655373418,0.17801169206521597
full_18plus,stfdem,120,33,0.08568146855404325,0.06016405136007401,0.25218367909542416,0.0298809209386985,PCB,False,0.9,0.01330424978006879,0.15527569735429064
full_18plus,trstprl,200,33,0.07780580598636594,0.0573838814180717,0.2516671309495561,0.02983221044854314,PCB,False,0.9,0.013850343176130911,0.17801169206521597
full_18plus,stfdem,200,33,0.08591634949819378,0.059669966317300954,0.25208890686246865,0.029871983917130793,PCB,False,0.9,0.013340721082466998,0.15527569735429064
