pais,country,year,n,b13_valid,b13_min,b13_max,pn4_valid,pn4_min,pn4_max,ing4_valid,ing4_min,ing4_max,has_wt,has_w1500,wt_cv,n_upm,n_strata,singleton_strata,design_ok,sample
3,El Salvador,2006,1729,0.9757085020242915,1.0,7.0,0.97165991902834,1.0,4.0,0.9485251590514748,1.0,7.0,True,True,0.0,66,4,0,True,core
3,El Salvador,2008,1549,0.9832149774047773,1.0,7.0,0.9799870884441575,1.0,4.0,0.9754680438992899,1.0,7.0,True,True,0.0,66,4,0,True,core
3,El Salvador,2010,1550,0.9896774193548387,1.0,7.0,0.9890322580645161,1.0,4.0,0.9864516129032258,1.0,7.0,True,True,0.0,66,4,0,True,core
3,El Salvador,2012,1497,0.9372077488309953,1.0,7.0,0.4642618570474282,1.0,4.0,0.9171676686706747,1.0,7.0,True,True,0.0,52,5,0,True,core
3,El Salvador,2014,1512,0.9894179894179894,1.0,7.0,0.9920634920634921,1.0,4.0,0.9814814814814815,1.0,7.0,True,True,0.0,63,5,0,True,core
3,El Salvador,2016,1551,0.9832366215344939,1.0,7.0,0.9838813668600903,1.0,4.0,0.9774339136041263,1.0,7.0,True,True,0.0,63,5,0,True,core
3,El Salvador,2018,1511,0.9814692256783587,1.0,7.0,0.9728656518861681,1.0,4.0,0.9695565850430179,1.0,7.0,True,True,0.0,63,5,0,True,core
3,El Salvador,2021,3245,0.0,,,0.473959938366718,1.0,4.0,0.976271186440678,1.0,7.0,True,True,0.5710921480454599,3245,1,0,True,excluded
3,El Salvador,2023,1516,0.9907651715039578,1.0,7.0,0.9887862796833773,1.0,4.0,0.991424802110818,1.0,7.0,True,True,0.0,63,5,0,True,core
4,Honduras,2004,1500,0.9293333333333333,1.0,7.0,0.932,1.0,4.0,0.894,1.0,7.0,True,True,0.0,111,8,0,True,core
4,Honduras,2006,1585,0.9722397476340694,1.0,7.0,0.922397476340694,1.0,4.0,0.9457413249211356,1.0,7.0,True,True,0.0,118,8,0,True,core
4,Honduras,2008,1522,0.9165571616294349,1.0,7.0,0.926412614980289,1.0,4.0,0.9296977660972404,1.0,7.0,True,True,0.0,93,8,0,True,core
4,Honduras,2010,1596,0.9774436090225563,1.0,7.0,0.956766917293233,1.0,4.0,0.956140350877193,1.0,7.0,True,True,0.0,93,8,0,True,core
4,Honduras,2012,1728,0.9548611111111112,1.0,7.0,0.45949074074074076,1.0,4.0,0.9068287037037037,1.0,7.0,True,True,0.23198745732495707,68,8,0,True,core
4,Honduras,2014,1561,0.9871877001921845,1.0,7.0,0.9801409352978859,1.0,4.0,0.9673286354900704,1.0,7.0,True,True,0.0,65,8,0,True,core
4,Honduras,2016,1560,0.9692307692307692,1.0,7.0,0.9461538461538461,1.0,4.0,0.9397435897435897,1.0,7.0,True,True,0.0,65,8,0,True,core
4,Honduras,2018,1560,0.9826923076923076,1.0,7.0,0.9416666666666667,1.0,4.0,0.9570512820512821,1.0,7.0,True,True,0.0,65,8,0,True,core
4,Honduras,2021,2999,0.0,,,0.48216072024008005,1.0,4.0,0.962320773591197,1.0,7.0,True,True,0.7038548721901968,2999,1,0,True,excluded
4,Honduras,2023,1602,0.9481897627965044,1.0,7.0,0.9375780274656679,1.0,4.0,0.9431960049937578,1.0,7.0,True,True,0.0,64,7,0,True,core
5,Nicaragua,2004,1430,0.9132867132867133,1.0,7.0,0.9048951048951049,1.0,4.0,0.8937062937062937,1.0,7.0,True,True,0.0,47,3,0,True,core
5,Nicaragua,2006,1759,0.9590676520750426,1.0,7.0,0.9431495167708925,1.0,4.0,0.9249573621375782,1.0,7.0,True,True,0.0,78,3,0,True,core
5,Nicaragua,2008,1539,0.9363222871994802,1.0,7.0,0.9324236517218973,1.0,4.0,0.8778427550357375,1.0,7.0,True,True,0.0,43,6,0,True,core
5,Nicaragua,2010,1540,0.9512987012987013,1.0,7.0,0.961038961038961,1.0,4.0,0.9467532467532468,1.0,7.0,True,True,0.0,43,6,0,True,core
5,Nicaragua,2012,1686,0.9863582443653618,1.0,7.0,0.9750889679715302,1.0,4.0,0.9679715302491103,1.0,7.0,True,True,0.10153026502360064,50,6,0,True,core
5,Nicaragua,2014,1546,0.9754204398447607,1.0,7.0,0.9657179818887451,1.0,4.0,0.961836998706339,1.0,7.0,True,True,0.0,62,6,0,True,core
5,Nicaragua,2016,1560,0.9685897435897436,1.0,7.0,0.958974358974359,1.0,4.0,0.9576923076923077,1.0,7.0,True,True,0.0,62,6,0,True,core
5,Nicaragua,2019,1547,0.9715578539107951,1.0,7.0,0.9508726567550096,1.0,4.0,0.967032967032967,1.0,7.0,True,True,0.0,62,6,0,True,core
5,Nicaragua,2021,2997,0.0,,,0.48581915248581914,1.0,4.0,0.985985985985986,1.0,7.0,True,True,0.8461637368373658,2997,1,0,True,excluded
5,Nicaragua,2023,3004,0.4530625832223702,1.0,7.0,0.4510652463382157,1.0,4.0,0.9550599201065246,1.0,7.0,True,True,0.6100785316958649,3004,1,0,True,excluded
6,Costa Rica,2004,1500,0.9706666666666667,1.0,7.0,0.9886666666666667,1.0,4.0,0.976,1.0,7.0,True,True,0.0,30,5,0,True,core
6,Costa Rica,2006,1497,0.9853039412157648,1.0,7.0,0.978623914495658,1.0,4.0,0.9792919171676687,1.0,7.0,True,True,0.0,30,5,0,True,core
6,Costa Rica,2008,1499,0.9539693128752502,1.0,7.0,0.971314209472982,1.0,4.0,0.95263509006004,1.0,7.0,True,True,0.0,30,5,0,True,core
6,Costa Rica,2010,1500,0.962,1.0,7.0,0.9706666666666667,1.0,4.0,0.9633333333333334,1.0,7.0,True,True,0.0,30,5,0,True,core
6,Costa Rica,2012,1498,0.9759679572763685,1.0,7.0,0.4886515353805073,1.0,4.0,0.937917222963952,1.0,7.0,True,True,0.0,30,5,0,True,core
6,Costa Rica,2014,1537,0.9850357839947951,1.0,7.0,0.9921925829538061,1.0,4.0,0.9713728041639558,1.0,7.0,True,True,0.0,30,5,0,True,core
6,Costa Rica,2023,1527,0.9855926653569089,1.0,7.0,0.9783889980353635,1.0,4.0,0.982973149967256,1.0,7.0,True,True,0.0,35,5,0,True,core
7,PanamÃ¡,2004,1639,0.9713239780353874,1.0,7.0,0.975594874923734,1.0,4.0,0.9749847467968273,1.0,7.0,True,True,0.0,104,4,0,True,core
7,PanamÃ¡,2006,1536,0.9192708333333334,1.0,7.0,0.9563802083333334,1.0,4.0,0.9720052083333334,1.0,7.0,True,True,0.0,76,4,0,True,core
7,PanamÃ¡,2008,1536,0.962890625,1.0,7.0,0.9720052083333334,1.0,4.0,0.9759114583333334,1.0,7.0,True,True,0.0,76,4,0,True,core
7,PanamÃ¡,2010,1536,0.9791666666666666,1.0,7.0,0.9798177083333334,1.0,4.0,0.9733072916666666,1.0,7.0,True,True,0.0,76,4,0,True,core
7,PanamÃ¡,2012,1620,0.9777777777777777,1.0,7.0,0.47716049382716047,1.0,4.0,0.9123456790123456,1.0,7.0,True,True,0.05214785044235899,62,4,0,True,core
7,PanamÃ¡,2014,1508,0.9893899204244032,1.0,7.0,0.98342175066313,1.0,4.0,0.9708222811671088,1.0,7.0,True,True,0.0,61,4,0,True,core
7,PanamÃ¡,2023,1532,0.9862924281984334,1.0,7.0,0.9817232375979112,1.0,4.0,0.987597911227154,1.0,7.0,True,True,0.0,64,4,0,True,core
8,Colombia,2004,1479,0.9506423258958756,1.0,7.0,0.9574036511156186,1.0,4.0,0.9479377958079783,1.0,7.0,True,True,0.0,61,6,0,True,core
8,Colombia,2006,1491,0.9396378269617707,1.0,7.0,0.93158953722334,1.0,4.0,0.9389671361502347,1.0,7.0,True,True,0.0,60,6,0,True,core
8,Colombia,2008,1503,0.9414504324683965,1.0,7.0,0.93812375249501,1.0,4.0,0.948769128409847,1.0,7.0,True,True,0.0,61,6,0,True,core
8,Colombia,2010,1506,0.9236387782204515,1.0,7.0,0.9236387782204515,1.0,4.0,0.9362549800796812,1.0,7.0,True,True,0.0,56,6,0,True,core
8,Colombia,2012,1512,0.9285714285714286,1.0,7.0,0.455026455026455,1.0,4.0,0.9437830687830688,1.0,7.0,True,True,0.0,73,6,0,True,core
8,Colombia,2014,1496,0.9632352941176471,1.0,7.0,0.9572192513368984,1.0,4.0,0.9525401069518716,1.0,7.0,True,True,0.0,63,6,0,True,core
8,Colombia,2018,1663,0.9699338544798557,1.0,7.0,0.9705351773902585,1.0,4.0,0.973541791942273,1.0,7.0,True,True,0.0,63,6,0,True,core
8,Colombia,2021,2993,0.0,,,0.473103909121283,1.0,4.0,0.9832943534914801,1.0,7.0,True,True,0.7823892518398832,2993,1,0,True,excluded
8,Colombia,2023,1503,0.9660678642714571,1.0,7.0,0.957418496340652,1.0,4.0,0.9707252162341983,1.0,7.0,True,True,0.0,63,6,0,True,core
9,Ecuador,2004,3000,0.9766666666666667,1.0,7.0,0.9623333333333334,1.0,4.0,0.942,1.0,7.0,True,True,0.6604702629270757,103,3,0,True,core
9,Ecuador,2006,2925,0.9852991452991453,1.0,7.0,0.9654700854700855,1.0,4.0,0.9528205128205128,1.0,7.0,True,True,0.6752243013076288,103,3,0,True,core
9,Ecuador,2008,3000,0.9803333333333333,1.0,7.0,0.973,1.0,4.0,0.967,1.0,7.0,True,True,0.5982145502288839,86,3,0,True,core
9,Ecuador,2010,2999,0.9669889963321107,1.0,7.0,0.9376458819606536,1.0,4.0,0.9403134378126042,1.0,7.0,True,True,0.6476692654866034,78,3,0,True,core
9,Ecuador,2012,1500,0.9793333333333333,1.0,7.0,0.4573333333333333,1.0,4.0,0.9293333333333333,1.0,7.0,True,True,0.0,79,3,0,True,core
9,Ecuador,2016,1545,0.9741100323624595,1.0,7.0,0.9585760517799353,1.0,4.0,0.9728155339805825,1.0,7.0,True,True,0.0,81,3,0,True,core
9,Ecuador,2021,3005,0.4735440931780366,1.0,7.0,0.49118136439267884,1.0,4.0,0.9903494176372712,1.0,7.0,True,True,0.5737999466496208,3005,1,0,True,excluded
9,Ecuador,2023,1604,0.9825436408977556,1.0,7.0,0.9650872817955112,1.0,4.0,0.976932668329177,1.0,7.0,True,True,0.05424833777255722,84,3,0,True,core
10,Bolivia,2004,3072,0.9632161458333334,1.0,7.0,0.9680989583333334,1.0,4.0,0.974609375,1.0,7.0,True,True,0.6577549659428377,152,6,0,True,core
10,Bolivia,2006,3008,0.9261968085106383,1.0,7.0,0.9431515957446809,1.0,4.0,0.9308510638297872,1.0,7.0,True,True,0.682473425878673,115,6,0,True,core
10,Bolivia,2008,3003,0.9180819180819181,1.0,7.0,0.9443889443889444,1.0,4.0,0.9393939393939394,1.0,7.0,True,True,0.6832715546809826,181,6,0,True,core
11,PerÃº,2006,1500,0.9873333333333333,1.0,7.0,0.9466666666666667,1.0,4.0,0.948,1.0,7.0,True,True,0.0,126,7,0,True,core
11,PerÃº,2008,1500,0.9873333333333333,1.0,7.0,0.958,1.0,4.0,0.962,1.0,7.0,True,True,0.0,128,7,0,True,core
11,PerÃº,2010,1500,0.986,1.0,7.0,0.9606666666666667,1.0,4.0,0.9593333333333334,1.0,7.0,True,True,0.0,128,7,0,True,core
11,PerÃº,2012,1500,0.9953333333333333,1.0,7.0,0.47,1.0,4.0,0.974,1.0,7.0,True,True,0.0,110,7,0,True,core
11,PerÃº,2014,1500,0.9873333333333333,1.0,7.0,0.9546666666666667,1.0,4.0,0.956,1.0,7.0,True,True,0.0,125,7,0,True,core
11,PerÃº,2017,2647,0.9848885530789573,1.0,7.0,0.9705326785039667,1.0,4.0,0.9807329051756706,1.0,7.0,True,True,0.6077934262035954,171,7,0,True,core
11,PerÃº,2019,1521,0.9960552268244576,1.0,7.0,0.980276134122288,1.0,4.0,0.9835634451019066,1.0,7.0,True,True,0.0,125,7,0,True,core
11,PerÃº,2021,3038,0.24950625411454905,1.0,7.0,0.4858459512837393,1.0,4.0,0.9947333772218565,1.0,7.0,True,True,0.6932309095368128,3038,1,0,True,excluded
11,PerÃº,2023,1535,0.9921824104234528,1.0,7.0,0.9869706840390879,1.0,4.0,0.9908794788273616,1.0,7.0,True,True,0.0,125,7,0,True,core
12,Paraguay,2006,1165,0.9536480686695279,1.0,7.0,0.9699570815450643,1.0,4.0,0.0,,,True,True,0.0,120,6,0,True,core
12,Paraguay,2008,1166,0.9751286449399656,1.0,7.0,0.9845626072041166,1.0,4.0,0.9365351629502573,1.0,7.0,True,True,0.0,121,6,0,True,core
12,Paraguay,2010,1501,0.9420386409060626,1.0,7.0,0.9573617588274483,1.0,4.0,0.9413724183877415,1.0,7.0,True,True,0.0,96,6,0,True,core
12,Paraguay,2012,1510,0.9403973509933775,1.0,7.0,0.49205298013245036,1.0,4.0,0.9483443708609272,1.0,7.0,True,True,0.0,57,6,0,True,core
12,Paraguay,2014,1503,0.9507651363938789,1.0,7.0,0.9560878243512974,1.0,4.0,0.9121756487025948,1.0,7.0,True,True,0.0,63,6,0,True,core
12,Paraguay,2016,1528,0.9535340314136126,1.0,7.0,0.9365183246073299,1.0,4.0,0.9476439790575916,1.0,7.0,True,True,0.0,57,6,0,True,core
12,Paraguay,2019,1515,0.9848184818481848,1.0,7.0,0.9762376237623762,1.0,4.0,0.9755775577557756,1.0,7.0,True,True,0.0,63,6,0,True,core
12,Paraguay,2021,3004,0.0,,,0.48868175765645805,1.0,4.0,0.9753661784287616,1.0,7.0,True,True,0.6440736706478619,3004,1,0,True,excluded
12,Paraguay,2023,1524,0.9639107611548556,1.0,7.0,0.9612860892388452,1.0,4.0,0.9730971128608924,1.0,7.0,True,True,0.0,63,6,0,True,core
13,Chile,2006,1517,0.978246539222149,1.0,7.0,0.9650626235992089,1.0,4.0,0.969676994067238,1.0,7.0,True,True,0.0,78,9,0,True,core
13,Chile,2008,1527,0.9679109364767517,1.0,7.0,0.9469548133595285,1.0,4.0,0.945645055664702,1.0,7.0,True,True,0.0,76,9,0,True,core
14,Uruguay,2007,1200,0.9233333333333333,1.0,7.0,0.9658333333333333,1.0,4.0,0.9716666666666667,1.0,7.0,True,True,0.0,59,2,0,True,core
14,Uruguay,2008,1500,0.9346666666666666,1.0,7.0,0.9733333333333334,1.0,4.0,0.9773333333333334,1.0,7.0,True,True,0.0,59,2,0,True,core
14,Uruguay,2010,1500,0.9253333333333333,1.0,7.0,0.9846666666666667,1.0,4.0,0.966,1.0,7.0,True,True,0.0,59,2,0,True,core
14,Uruguay,2012,1512,0.9292328042328042,1.0,7.0,0.4794973544973545,1.0,4.0,0.9682539682539683,1.0,7.0,True,True,0.0,61,2,0,True,core
14,Uruguay,2014,1512,0.9457671957671958,1.0,7.0,0.9794973544973545,1.0,4.0,0.9808201058201058,1.0,7.0,True,True,0.0,63,2,0,True,core
15,Brasil,2007,1214,0.9744645799011532,1.0,7.0,0.9225700164744646,1.0,4.0,0.9168039538714992,1.0,7.0,True,True,0.0,122,5,0,True,core
15,Brasil,2008,1497,0.9171676686706747,1.0,7.0,0.9311957247828991,1.0,4.0,0.9051436205744823,1.0,7.0,True,True,0.0,122,5,0,True,core
15,Brasil,2010,2482,0.959307010475423,1.0,7.0,0.9504431909750202,1.0,4.0,0.9246575342465754,1.0,7.0,True,True,0.46298891148143473,54,5,0,True,core
15,Brasil,2012,1499,0.9866577718478986,1.0,7.0,0.47765176784523017,1.0,4.0,0.9553035356904603,1.0,7.0,True,True,0.36612646048905556,124,5,0,True,core
15,Brasil,2014,1500,0.9873333333333333,1.0,7.0,0.9653333333333334,1.0,4.0,0.9726666666666667,1.0,7.0,True,True,0.36391009271202707,125,5,0,True,core
16,16,2007,1510,0.9596026490066225,1.0,7.0,0.9662251655629139,1.0,4.0,0.9788079470198675,1.0,7.0,True,True,0.0,60,6,0,True,core
16,16,2008,1500,0.932,1.0,7.0,0.9593333333333334,1.0,4.0,0.9726666666666667,1.0,7.0,True,True,0.0,60,6,0,True,core
17,Argentina,2008,1486,0.9340511440107672,1.0,7.0,0.9360699865410498,1.0,4.0,0.9394347240915208,1.0,7.0,True,True,0.0,74,6,0,True,core
21,RepÃºblica Dominicana,2004,4460,0.9699551569506727,1.0,7.0,0.9459641255605381,1.0,4.0,0.0,,,True,True,0.9890818251638501,119,4,0,True,core
21,RepÃºblica Dominicana,2006,1516,0.9591029023746702,1.0,7.0,0.9445910290237467,1.0,4.0,0.9182058047493403,1.0,7.0,True,True,0.0,54,4,0,True,core
21,RepÃºblica Dominicana,2008,1507,0.9130723291307233,1.0,7.0,0.9455872594558726,1.0,4.0,0.9097544790975448,1.0,7.0,True,True,0.0,57,4,0,True,core
21,RepÃºblica Dominicana,2010,1498,0.9546061415220294,1.0,7.0,0.9479305740987984,1.0,4.0,0.9312416555407209,1.0,7.0,True,True,0.0,60,4,0,True,core
21,RepÃºblica Dominicana,2012,1512,0.96494708994709,1.0,7.0,0.4755291005291005,1.0,4.0,0.9603174603174603,1.0,7.0,True,True,0.0,55,4,0,True,core
21,RepÃºblica Dominicana,2014,1520,0.9802631578947368,1.0,7.0,0.9776315789473684,1.0,4.0,0.9710526315789474,1.0,7.0,True,True,0.0,63,4,0,True,core
21,RepÃºblica Dominicana,2016,1518,0.9637681159420289,1.0,7.0,0.9538866930171278,1.0,4.0,0.9723320158102767,1.0,7.0,True,True,0.0,63,4,0,True,core
21,RepÃºblica Dominicana,2019,1516,0.9591029023746702,1.0,7.0,0.9650395778364116,1.0,4.0,0.9722955145118733,1.0,7.0,True,True,0.0,63,4,0,True,core
21,RepÃºblica Dominicana,2021,3000,0.0,,,0.473,1.0,4.0,0.973,1.0,7.0,True,True,0.6997631211447757,3000,1,0,True,excluded
21,RepÃºblica Dominicana,2023,1596,0.9730576441102757,1.0,7.0,0.9843358395989975,1.0,4.0,0.9830827067669173,1.0,7.0,True,True,0.0,63,4,0,True,core
22,HaitÃ­,2006,1625,0.9618461538461538,1.0,7.0,0.9335384615384615,1.0,4.0,0.9212307692307692,1.0,7.0,True,True,0.0,74,4,0,True,core
22,HaitÃ­,2008,1536,0.9759114583333334,1.0,7.0,0.955078125,1.0,4.0,0.974609375,1.0,7.0,True,True,0.0,70,5,0,True,core
22,HaitÃ­,2010,1752,0.9942922374429224,1.0,7.0,0.9845890410958904,1.0,4.0,0.9823059360730594,1.0,7.0,True,True,0.20806699240781984,149,5,0,True,core
22,HaitÃ­,2012,1836,0.9809368191721133,1.0,7.0,0.4809368191721133,1.0,4.0,0.9842047930283224,1.0,7.0,True,True,0.5063918143312078,114,5,0,True,core
22,HaitÃ­,2014,1512,0.9894179894179894,1.0,7.0,0.9318783068783069,1.0,4.0,0.9861111111111112,1.0,7.0,True,True,0.0,61,5,0,True,core
22,HaitÃ­,2017,2221,0.8991445294912201,1.0,7.0,0.890139576767222,1.0,4.0,0.8995947771274201,1.0,7.0,True,True,0.3285329039037231,88,5,0,True,core
22,HaitÃ­,2021,3088,0.0,,,0.41321243523316065,1.0,4.0,0.695919689119171,1.0,7.0,True,True,0.8913806036142625,3088,1,0,True,excluded
22,HaitÃ­,2023,1611,0.0,,,0.48479205462445685,1.0,4.0,0.9211669770328988,1.0,7.0,True,True,0.9840345188503226,1611,1,0,True,excluded
23,Jamaica,2006,1595,0.9554858934169279,1.0,7.0,0.9134796238244514,1.0,4.0,0.9285266457680251,1.0,7.0,True,True,0.0,85,3,0,True,core
23,Jamaica,2008,1499,0.9593062041360907,1.0,7.0,0.951967978652435,1.0,4.0,0.9446297531687792,1.0,7.0,True,True,0.0,63,4,0,True,core
23,Jamaica,2010,1504,0.9574468085106383,1.0,7.0,0.9488031914893617,1.0,4.0,0.9488031914893617,1.0,7.0,True,True,0.0,80,4,0,True,core
23,Jamaica,2012,1500,0.972,1.0,7.0,0.5066666666666667,1.0,4.0,0.978,1.0,7.0,True,True,0.0,53,4,0,True,core
23,Jamaica,2014,1503,0.9760479041916168,1.0,7.0,0.9354624085163007,1.0,4.0,0.9208250166333999,1.0,7.0,True,True,0.0,52,4,0,True,core
23,Jamaica,2017,1515,0.972937293729373,1.0,7.0,0.9023102310231023,1.0,4.0,0.8950495049504951,1.0,7.0,True,True,0.0,52,4,0,True,core
23,Jamaica,2019,1513,0.9550561797752809,1.0,7.0,0.8968935888962326,1.0,4.0,0.8896232650363516,1.0,7.0,True,True,0.0,52,4,0,True,core
23,Jamaica,2021,3121,0.0,,,0.46459468119192565,1.0,4.0,0.8952258891380968,1.0,7.0,True,True,0.4964099354868662,3121,1,0,True,excluded
23,Jamaica,2023,1521,0.965154503616042,1.0,7.0,0.9230769230769231,1.0,4.0,0.9335963182117029,1.0,7.0,True,True,0.0,52,4,0,True,core
24,24,2006,1555,0.9633440514469453,1.0,7.0,0.8643086816720257,1.0,4.0,0.8469453376205788,1.0,7.0,True,True,0.0,157,5,0,True,core
24,24,2009,2514,0.9447096260938743,1.0,7.0,0.9164677804295943,1.0,4.0,0.890612569610183,1.0,7.0,True,True,0.49037265479960807,89,7,0,True,core
24,24,2010,1540,0.9474025974025974,1.0,7.0,0.9025974025974026,1.0,4.0,0.9071428571428571,1.0,7.0,True,True,0.0,54,7,0,True,core
24,24,2012,1529,0.9221713538260301,1.0,7.0,0.47678221059516024,1.0,4.0,0.9202092871157619,1.0,7.0,True,True,0.0,51,4,0,True,core
24,24,2014,1557,0.962106615285806,1.0,7.0,0.9531149646756584,1.0,4.0,0.9261400128452152,1.0,7.0,True,True,0.0,51,4,0,True,core
24,24,2021,3011,0.0,,,0.46529392228495514,1.0,4.0,0.4646296911325141,1.0,7.0,True,True,0.6975101719176637,3011,1,0,True,excluded
25,Trinidad y Tobago,2014,4203,0.9783487984772782,1.0,7.0,0.9436117059243397,1.0,4.0,0.9281465619795384,1.0,7.0,True,True,1.1823473829294129,349,5,0,True,core
25,Trinidad y Tobago,2023,1660,0.9771084337349397,1.0,7.0,0.9644578313253012,1.0,4.0,0.9506024096385542,1.0,7.0,True,True,0.0845645988398405,126,5,0,True,core
26,Belice,2008,1552,0.8002577319587629,1.0,7.0,0.9007731958762887,1.0,4.0,0.8440721649484536,1.0,7.0,True,True,0.0,55,6,0,True,core
26,Belice,2010,1504,0.9414893617021277,1.0,7.0,0.9773936170212766,1.0,4.0,0.9501329787234043,1.0,7.0,True,True,0.0,55,6,0,True,core
26,Belice,2012,1512,0.9576719576719577,1.0,7.0,0.49272486772486773,1.0,4.0,0.9722222222222222,1.0,7.0,True,True,0.0,63,6,0,True,core
26,Belice,2014,1533,0.9758643183300717,1.0,7.0,0.9739073711676451,1.0,4.0,0.9582517938682322,1.0,7.0,True,True,0.0,63,6,0,True,core
26,Belice,2023,1550,0.9690322580645161,1.0,7.0,0.9767741935483871,1.0,4.0,0.9567741935483871,1.0,7.0,True,True,0.0,63,6,0,True,core
27,Surinam,2014,4000,0.97875,1.0,7.0,0.9575,1.0,4.0,0.94525,1.0,7.0,True,True,0.7968477854650443,163,5,0,True,core
27,Surinam,2023,1539,0.9922027290448343,1.0,7.0,0.9876543209876543,1.0,4.0,0.9707602339181286,1.0,7.0,True,True,0.0,63,5,0,True,core
28,Bahamas,2014,3429,0.9615048118985127,1.0,7.0,0.9673374161563137,1.0,4.0,0.9667541557305337,1.0,7.0,True,True,0.446604746375329,285,3,0,True,core
28,Bahamas,2023,1577,0.9860494610019024,1.0,7.0,0.9682942295497781,1.0,4.0,0.979708306911858,1.0,7.0,True,True,0.13424145164913487,125,3,0,True,core
30,Grenada,2023,1553,0.948486799742434,1.0,7.0,0.9401159047005795,1.0,4.0,0.9394719896973599,1.0,7.0,True,True,0.0,125,3,0,True,core
40,Estados Unidos,2006,609,0.9852216748768473,1.0,7.0,0.9901477832512315,1.0,4.0,0.9835796387520526,1.0,7.0,True,True,0.0,609,1,0,True,core
40,Estados Unidos,2008,1500,1.0,1.0,7.0,1.0,1.0,4.0,0.9993333333333333,1.0,7.0,True,True,0.42499051938529037,1500,1,0,True,core
40,Estados Unidos,2010,1500,1.0,1.0,7.0,0.9986666666666667,1.0,4.0,1.0,1.0,7.0,True,True,0.17833858067780187,1500,1,0,True,core
41,CanadÃ¡,2006,601,0.9900166389351082,1.0,7.0,0.9900166389351082,1.0,4.0,0.9816971713810316,1.0,7.0,True,True,0.0,601,1,0,True,core
