pool,min_n,essround,K,median_region_n,rho_hat,rho_lcb,D,delta_ucb,gate_A,gate_B,branch,gain_lcb,width_ratio,coverage,fallback
common NUTS level,150,11,52,233,0.4276,0.3295,0.2369,0.0284,False,False,PCB,,0.9255,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,100,9,171,196,0.587,0.5063,0.167,0.0218,True,False,conservative,,0.8346,0.8782,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,100,9,74,211,0.6243,0.5063,0.2625,0.0309,True,False,conservative,,0.8219,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,100,10,186,174,0.6071,0.5237,0.1613,0.0213,True,False,conservative,,0.8242,0.8787,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,100,10,78,186,0.5974,0.4538,0.2737,0.0319,False,False,PCB,,0.8549,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,100,11,162,182,0.5114,0.4428,0.151,0.0203,False,False,PCB,,0.8766,0.8797,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,100,11,83,186,0.5449,0.4417,0.2165,0.0265,False,False,PCB,,0.8693,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,80,9,196,163,0.6113,0.5293,0.1687,0.022,True,False,conservative,,0.8192,0.878,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,80,9,82,199,0.6465,0.5287,0.2601,0.0306,True,False,conservative,,0.8047,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,80,10,211,156,0.6286,0.545,0.1578,0.021,True,False,conservative,,0.8096,0.879,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,80,10,90,169,0.653,0.4999,0.2997,0.0344,True,False,conservative,,0.8242,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,80,11,196,165,0.5293,0.4644,0.1405,0.0194,False,True,PCB,,0.8654,0.8806,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,80,11,102,154,0.6043,0.5007,0.2143,0.0263,True,False,conservative,,0.8316,0.8737,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,60,9,228,149,0.6241,0.5473,0.1566,0.0209,True,False,conservative,,0.8082,0.8791,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,60,9,94,162,0.6461,0.5256,0.2455,0.0292,True,False,conservative,,0.8111,0.8708,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
