pool,min_n,essround,K,median_region_n,rho_hat,rho_lcb,D,delta_ucb,gate_A,gate_B,branch,gain_lcb,width_ratio,coverage,fallback
all countries,100,11,162,182,0.4881,0.4239,0.1461,0.0199,False,True,PCB,,0.8876,0.8801,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,100,11,83,186,0.5116,0.4179,0.2081,0.0257,False,False,PCB,,0.8839,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,80,9,196,163,0.5652,0.4877,0.1542,0.0206,True,False,conservative,,0.849,0.8794,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,80,9,82,199,0.6184,0.5077,0.2461,0.0293,True,False,conservative,,0.8217,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,80,10,211,156,0.5782,0.5021,0.1443,0.0197,True,True,conservative,0.0857,0.8412,0.8803,width gain insufficient (Ĝain_LCB ≤ g_min) → conservative fallback
common NUTS level,80,10,90,169,0.6193,0.4774,0.2715,0.0317,True,False,conservative,,0.8416,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,80,11,196,165,0.5007,0.4401,0.1354,0.0189,False,True,PCB,,0.8801,0.8811,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,80,11,102,154,0.5586,0.4653,0.1997,0.0249,False,False,PCB,,0.8567,0.8751,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,60,9,228,149,0.5669,0.4965,0.1415,0.0194,True,True,deconvolution,0.161,0.8452,0.8806,
common NUTS level,60,9,94,162,0.6106,0.4976,0.2262,0.0274,True,False,conservative,,0.8328,0.8726,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,60,10,248,142,0.593,0.5213,0.1382,0.0191,True,True,deconvolution,0.155,0.8295,0.8809,
common NUTS level,60,10,105,146,0.6524,0.521,0.2378,0.0285,True,False,conservative,,0.8153,0.8715,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,60,11,233,136,0.5071,0.45,0.1257,0.018,False,True,PCB,,0.8757,0.882,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,60,11,116,135,0.5309,0.4483,0.1861,0.0237,False,False,PCB,,0.869,0.8763,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,40,9,273,119,0.5595,0.4922,0.1249,0.0179,True,True,deconvolution,0.1621,0.8507,0.8821,
common NUTS level,40,9,109,140,0.5825,0.4797,0.2,0.025,True,False,conservative,,0.8481,0.875,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,40,10,287,127,0.5915,0.5131,0.1312,0.0185,True,True,deconvolution,0.2163,0.8368,0.8815,
common NUTS level,40,10,119,133,0.6728,0.5125,0.2391,0.0286,True,False,conservative,,0.8221,0.8714,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,40,11,285,112,0.5159,0.4629,0.1162,0.0171,False,True,PCB,,0.8696,0.8829,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,40,11,140,113,0.5679,0.4883,0.1765,0.0227,True,False,conservative,,0.8455,0.8773,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
