cntry,essround,n,trstprl,stfdem,anweight,pspwght,dweight,psu,stratum,prob,n_psu,n_strata,sample
ES,4,2576,0.9149844720496895,0.9487577639751553,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
ES,5,1885,0.9660477453580902,0.9745358090185676,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
ES,6,1889,0.9539438856537851,0.9708840656431975,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
ES,7,1925,0.9361038961038961,0.9683116883116883,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
ES,8,1958,0.9468845760980592,0.966802860061287,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
ES,9,1668,0.9490407673860911,0.9496402877697842,1.0,1.0,1.0,1.0,1.0,1.0,453,58,core
ES,10,2283,0.9829172141918529,0.9877354358300482,1.0,1.0,1.0,1.0,1.0,1.0,476,58,core
ES,11,1844,0.9734273318872018,0.9793926247288504,1.0,1.0,1.0,1.0,1.0,1.0,465,55,core
FI,1,2000,0.989,0.966,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,2,2022,0.9906033630069239,0.9638971315529179,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,3,1896,0.9931434599156118,0.9762658227848101,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,4,2195,0.9945330296127562,0.971753986332574,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,5,1878,0.9936102236421726,0.9739084132055378,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,6,2197,0.9959035047792444,0.9767865270823851,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,7,2087,0.9932918064206996,0.9712505989458553,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,8,1925,0.9984415584415585,0.9823376623376623,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FI,9,1755,0.9931623931623932,0.9737891737891737,1.0,1.0,1.0,1.0,1.0,1.0,1755,877,core
FI,10,1577,0.9980976537729866,0.9892200380469245,1.0,1.0,1.0,1.0,1.0,1.0,1577,788,core
FI,11,1563,0.9974408189379399,0.9833653230966091,1.0,1.0,1.0,1.0,1.0,1.0,1563,260,core
FR,1,1503,0.9813705921490352,0.9860279441117764,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,2,1806,0.9844961240310077,0.991140642303433,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,3,1986,0.9783484390735147,0.9919436052366566,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,4,2073,0.9831162566328991,0.984081041968162,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,5,1728,0.9872685185185185,0.9947916666666666,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,6,1968,0.9867886178861789,0.9857723577235772,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,7,1917,0.9827856025039123,0.9880020865936359,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,8,2070,0.9869565217391304,0.9830917874396136,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
FR,9,2010,0.9701492537313433,0.9756218905472637,1.0,1.0,1.0,1.0,1.0,1.0,523,96,core
FR,10,1977,0.9686393525543753,0.9762266059686393,1.0,1.0,1.0,1.0,1.0,1.0,373,50,core
FR,11,1771,0.9751552795031055,0.9785431959345002,1.0,1.0,1.0,1.0,1.0,1.0,351,47,core
GB,1,2052,0.9878167641325536,0.9634502923976608,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,2,1897,0.9878755930416447,0.9541381128096995,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,3,2394,0.981203007518797,0.948203842940685,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,4,2352,0.9855442176870748,0.9600340136054422,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,5,2422,0.967795210569777,0.9236168455821635,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,6,2286,0.9706911636045494,0.9278215223097113,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,7,2264,0.9836572438162544,0.9637809187279152,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,8,1959,0.9897907095456866,0.9668198060234814,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GB,9,2204,0.9900181488203267,0.9668784029038112,1.0,1.0,1.0,1.0,1.0,1.0,385,192,core
GB,10,1149,0.9930374238468234,0.9817232375979112,1.0,1.0,1.0,1.0,1.0,1.0,332,166,core
GB,11,1684,0.9750593824228029,0.9376484560570071,1.0,1.0,1.0,1.0,1.0,1.0,382,4,core
GR,1,2566,0.9618082618862042,0.9734996102883866,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GR,2,2406,0.9817123857024106,0.9833748960931006,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GR,4,2072,0.9893822393822393,0.9903474903474904,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GR,5,2715,0.9896869244935543,0.9915285451197053,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
GR,10,2799,0.9942836727402644,0.9946409431939979,1.0,1.0,1.0,1.0,1.0,1.0,201,25,core
GR,11,2757,0.9934711643090316,0.9854914762422924,1.0,1.0,1.0,1.0,1.0,1.0,1696,27,core
HR,4,1484,0.9757412398921833,0.9710242587601078,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HR,5,1649,0.976349302607641,0.947847180109157,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HR,9,1810,0.9911602209944751,0.9729281767955801,1.0,1.0,1.0,1.0,1.0,1.0,655,22,core
HR,10,1592,0.9780150753768844,0.9692211055276382,1.0,1.0,1.0,1.0,1.0,1.0,921,13,core
HR,11,1563,0.9756877799104287,0.9718490083173384,1.0,1.0,1.0,1.0,1.0,1.0,862,53,core
HU,1,1685,0.9655786350148368,0.9169139465875371,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
